"sbd","van","ngoaingu","toan"
18596,7.75,7.75,6.75
18597,7.25,8.5,7.25
18598,8,5.75,5.75
18600,8,6.75,7.25
18601,7.5,9.25,5.25
18602,6.5,6,5.75
18603,8,7.5,6.5
18604,6.75,2.5,2.5
18605,6.75,3.5,3
18606,7.5,7.5,4.75
18607,7,5,2.5
18608,8,6.25,3.75
18609,8,5.5,3.25
18610,8,6.25,4
18611,5,8.25,6
18612,7.25,5.75,6.5
18613,6.5,4.75,2.75
18614,6,5.25,2.25
18615,8,9,6.75
18616,6,4,1.25
18617,6,5,3
18618,7.25,5.5,2.75
18619,7.25,5.75,6.5
18620,6.5,7,6.25
18621,7.5,7.25,6.5
18622,6.25,4,1
18623,4.25,4.75,3.75
18624,7.5,5,4
18625,7,5,3.5
18626,7.5,7.75,6.25
18627,8.5,8.75,5.75
18628,5.5,4.5,3.25
18629,7,6.75,5.5
18630,4.75,3.75,3.5
18631,6.5,5.25,4.25
18632,8,3.75,4.75
18633,8.25,8.75,8.25
18634,5.75,4.5,3.5
18635,8,6.75,5.5
18636,7.5,9.75,5.75
18637,7.75,5,4.75
18639,6.75,5,5
18640,7,7.5,5.25
18642,7.25,7.75,5
18643,7.25,6.5,5.5
18644,5.75,4.25,4.5
18645,5.5,5.5,3.5
18646,7.75,7.25,6.75
18647,8.5,8.75,7
18648,6.25,6.25,4
18649,6,6.5,5
18650,8,7.75,4.75
18651,3.25,9.25,5
18652,8.25,7,7
18654,5.5,4.25,3.25
18655,7,8,6
18656,8.75,6.5,5.25
18657,7.75,8.25,5
18658,7.5,7.25,3.75
18659,7.75,8.25,6
18660,5.75,5.75,3.5
18661,8,8.25,7.25
18662,7.75,4.25,4.5
18663,7.25,3,1.5
18664,7.25,4.25,3.25
18666,7,3.75,4
18667,7.75,7.75,6
18668,7.25,2.5,5.5
18669,5,3.5,3.5
18670,5.5,3.75,3.75
18672,6.75,5.25,6
18673,4.5,8.25,1.75
18675,7,6,4.75
18676,6.25,7.5,6
18678,5.75,4.5,3.5
18679,6.75,5.5,3.25
18681,7.5,8,5.25
18683,6.75,2,3
18684,6,3.75,1.75
18685,8.75,9.25,7.75
18686,5.75,4.5,3
18687,5.5,8.5,3.75
18688,7.5,8,7
18689,6.5,5.25,4.25
18690,6,5.25,3.5
18691,5.75,3.5,1.75
18692,7.25,7.75,3
18693,8.5,8.5,7.25
18694,8,4,4.75
18696,7.75,6,5.25
18698,7.25,7.75,4.5
18699,7,5.5,4.75
18701,8,7.25,3.25
18702,7.25,8.5,4.75
18703,7.5,7.25,4
18704,6.75,4.75,4.75
18705,7.5,8.25,6.5
18706,7.25,3.75,3
18707,5.75,3.25,3.25
18708,8,8.25,8
18709,7.25,7.5,6
18710,6.75,5.75,2.5
18711,7,2.75,3.5
18712,7,6.75,7
18713,7.25,7.75,5.5
18714,8,4.25,5.5
18715,7.75,8.75,6.5
18717,8,5.75,3.5
18718,7.5,4,4
18719,7.25,4.25,5.75
18720,6,4,3.5
18721,7,5,2
18722,8,9.25,6.25
18723,6.75,5.5,3.5
18724,8,8.75,7
18725,7.75,6,3
18726,8,4.25,6.25
18727,6.75,3.5,5
18728,7,7.25,4.5
18729,6.75,7.75,6.5
18730,6,8.75,4.75
18731,4.75,4.5,2.75
18732,7.5,7.75,5
18733,7,7.25,4.75
18734,4.25,4,3
18735,7.5,4,3
18736,6.75,10,7.5
18737,7.25,4.5,5
18738,7.5,6.25,4
18739,7.75,3.25,4
18740,6.5,6,5
18741,6.25,2.5,4
18742,7.25,7,6
18743,6.5,3.75,5
18744,6.75,5,5
18745,7,5,4
18746,8,7,5
18747,8.5,7.25,6.5
18748,6.5,3.5,2.75
18749,7.5,4.5,2.25
18750,6,4.25,2
18751,8,8.75,5.75
18752,7.5,8.5,3.75
18753,7,6.75,5
18754,6.75,5.25,3.5
18755,7.25,4.25,4
18756,7.75,9.5,7.5
18757,7.25,7,5
18758,7.5,6.5,3.75
18759,7.5,7.75,7
18760,6.75,6,6.25
18761,7.25,7.75,7
18762,7.5,5.5,5.5
18764,6,5,3
18765,7,8,6
18766,7,8,5.75
18767,7.75,6.5,5
18768,7.5,6.25,2.5
18769,8,5.5,6
18770,6.5,3.5,4.75
18771,7.5,4.75,4.75
18772,6.5,3.75,1.75
18773,7.75,6.75,5.5
18774,8,6.5,6.75
18775,7.5,4.75,3.75
18776,6.75,5.75,7
18777,7,6.5,1.5
18778,6.25,3.75,3.5
18780,7.75,7.75,7.75
18781,6,5.5,4
18783,5.75,2.75,2.75
18784,6,8.5,5
18785,7.75,7,4.25
18786,7,4.5,2
18787,7.75,5,7.5
18788,6.5,2.75,2
18789,8,9.5,5
18790,6.75,4.5,3.75
18791,8.5,3.75,4
18792,7,8.5,5
18793,8.25,4.5,5.25
18794,8.25,8,5.75
18795,8.5,5.5,5.5
18796,8,9.25,6.75
18797,8.25,8,6.75
18798,7.25,3.5,3
18799,8,6.5,6.5
18800,6.5,3.75,4.5
18801,7.5,4.75,2
18802,7.25,4.75,2
18803,6,3,2.25
18804,6.25,3,2.75
18805,6.5,2.5,2.5
18806,8.25,7.5,4.5
18807,8,6,4
18808,8.25,9.25,7.25
18809,7.5,6,4
18811,7.75,3.75,4.25
18812,7.75,4.25,4.75
18813,8.25,5,5
18814,3.25,4.25,3.75
18815,7.75,8.25,6.5
18816,7.75,5.75,3.5
18817,8,4.5,3.5
18818,8,4.25,5.5
18819,6,4.5,4
18820,6.25,6,4.5
18821,7.75,7.5,6.5
18822,7.5,5.25,4.75
18823,8,8,3.75
18824,7,6.25,4.25
18825,8.5,6,6.5
18826,8.25,7.25,3
18827,6.75,5.5,0.75
18828,8.75,6.25,4.25
18830,9.25,6,3.25
18831,7,4.75,3.5
18832,7.75,6.5,5.5
18833,8.75,5,5.5
18835,5.75,6.75,5
18836,8.25,4,4
18837,6.75,6,3.25
18838,5.25,4.25,3
18839,6.5,7.5,5
18840,5.75,4,3.5
18841,6.25,7,5.75
18842,7,7.5,4
18843,6,3.5,2
18844,6.5,2,4
18845,6.5,2.75,2.25
18846,7,5,4.75
18847,6,6.5,3.75
18849,8,6.25,4
18850,5,3.5,3.5
18851,6,3.5,2.5
18853,7.5,5.25,4
18854,7,4.25,4.75
18855,8.5,6.75,7
18856,7,5,5.5
18857,6.5,3.5,2.5
18858,8,7.5,8
18861,6.5,2.5,2.75
18862,7.75,7,6
18863,5.5,4,5
18864,7.5,4.5,3.25
18865,7,4.75,3
18866,7.75,6.75,4.75
18867,7.5,8.25,5
18868,8.5,8.75,8
18869,5,5,4.5
18870,7.25,7.25,3.25
18871,6.5,8.25,4.5
18872,7.5,5.75,3
18873,7.5,4.5,4.25
18874,7.25,6,3.5
18875,5,6.75,2.25
18876,7.25,3.25,5
18877,8,8.5,7
18878,7,3.5,5.25
18879,6.75,6.5,4
18880,7.5,4.75,3.25
18881,6.5,3.5,4.25
18882,7,2.75,2.5
18883,7,1.75,3.25
18884,7,4.25,4.25
18885,6.75,5.25,4
18886,6.75,4,4.25
18887,8.25,8,4.5
18888,7.25,5,3.5
18889,6.75,5.5,2.25
18890,6.25,4,3.75
18891,7.5,6.75,5
18892,6.75,3.25,2.75
18893,6.25,5,4.25
18894,6.25,3.25,3
18895,7,5.75,5.5
18897,6.75,6,5.5
18898,7.25,6.25,4.75
18899,7.25,9.75,7.25
18900,8.25,8.25,5.5
18901,6.75,4.5,3.25
18902,8,7.75,7.75
18903,6,5.25,3.75
18904,7,9.5,4
18905,7.5,8,5.5
18906,6.75,5.5,3.5
18907,4.75,4.75,2.75
18908,8.25,9,6.25
18909,7.5,7.5,5.5
18910,8.25,9.25,6.5
18911,8,9,7.5
18912,8,9.25,5.5
18913,6.75,7,6.5
18914,7.75,5.75,5.25
18915,6,8,6.5
18916,6.25,3.75,2.5
18917,6,6.5,3.5
18918,8,8.25,6
18919,7.75,8.75,6.25
18920,7.75,7.75,5
18921,6,4.75,2.75
18922,6.5,4.75,2.5
18923,7.5,9,4.75
18924,6.5,8.75,5.25
18925,5,3.75,6
18926,7.5,6,4.75
18927,7.5,7.25,2.75
18928,7.75,7.25,6.25
18929,7.5,7.25,4.5
18930,7.75,7,7.25
18931,7.25,5.5,5.5
18932,8.25,9,7.25
18933,6.5,8,5
18934,6.75,6,4
18935,7,6.75,5
18936,7.25,7.25,5
18937,7.5,5.25,6
18939,8,3.5,4.5
18940,4.5,7.5,1
18941,5.5,8.25,5
18942,5.75,4.25,4
18944,6,8,4.75
18945,6.25,2.75,4.75
18946,7.5,5.25,3.75
18947,7,7.75,4
18948,7.25,2.75,4
18949,7,3.75,2.75
18950,7.5,8.25,4.5
18951,7.75,8,5.25
18952,6.5,6.25,2.75
18953,7.75,9.5,6.5
18954,6,8,4.25
18955,6,7.25,3.25
18956,6.25,8,5.25
18957,6.75,5.75,3.5
18958,7.5,6,5.5
18960,6.75,5.75,3.75
18961,7.25,9,7.25
18962,7,8,5.75
18963,6.5,5.25,2.25
18964,6.5,4.5,4.5
18965,6.25,9.75,6.25
18966,7,7.5,6
18967,6.5,6.5,5.25
18968,7.75,8.5,6.75
18970,7,6.5,3.75
18971,6,5.75,3.5
18972,8,8.5,7
18973,7.25,7.25,5.25
18974,6.25,3.75,2
18975,6,8,4.5
18976,7,9.25,5.5
18977,7.25,6.75,6.25
18978,6.75,5.25,5.25
18979,5.5,4,3.25
18980,6.75,7,5.5
18981,7,8.5,5.75
18982,6.5,6.25,2.5
18983,7.25,4,3.5
18984,6.75,5.75,2.75
18985,7.5,8,6.75
18986,6.75,8.75,7.25
18987,7,8,7.75
18988,8,7.75,4.25
18989,8.5,8.5,7.25
18990,7,8.75,5.5
18991,8.25,7.75,7.25
18992,7.5,8,6.25
18994,6,4.5,5.5
18995,7,5.5,5
18996,7.5,6.25,7.5
18997,7.75,5,4.5
18998,6,7.25,5
18999,6.5,4.5,3.75
19000,7,5.75,4.75
19001,6.75,6.25,3.5
19003,5,4.75,6.25
19004,8.25,5.75,4.75
19005,7.25,4.75,4
19006,8,8,6.5
19007,7.25,7.5,4.75
19008,8.5,9.75,8.5
19009,6,4.75,1
19010,6.75,5.75,4.25
19011,4.75,8,5.75
19012,5.75,6.75,3.75
19013,5.75,6,7.75
19014,6.75,6.5,3.75
19016,4,5.25,2.5
19017,6.25,5.5,2.75
19018,7,4,4.75
19019,8.25,6,3.5
19020,8.5,5.5,4
19021,7.5,8,5.25
19023,6.5,4.75,2
19024,7.75,9,5
19026,6.5,4.75,4
19027,7.25,8.75,6
19028,7.75,7,4.5
19029,7.25,4.25,4.25
19030,7.75,9.25,5.5
19031,8,5.75,5.75
19032,7.75,4.75,3.25
19033,5,6.25,2.5
19034,7.75,8,6
19035,8,6.5,6
19036,6.75,5,4.5
19037,7.25,7.25,4.5
19038,7.5,5.75,1.75
19039,6.5,6.75,3.5
19040,6.5,8.25,6
19041,6.5,4,1.25
19042,5.75,6.75,6.75
19043,6.25,8.25,5.5
19044,8,8.25,7.75
19045,8,8,7.75
19046,8.25,7.25,5.25
19047,6.75,4.75,4
19048,6.5,7,4.5
19049,7.5,9,7.5
19050,6.25,6.75,3.75
19051,6.75,7,3
19052,7.25,9,5.5
19053,6.25,5,2.5
19055,7.5,9,7
19056,7.5,8.25,5.25
19057,7.25,6.5,6.75
19058,7.25,8,4.75
19059,6.75,8,4.25
19060,6.25,6.75,6
19061,6.5,9,6.5
19062,7.75,9,5.75
19063,6,4.25,1.25
19064,8,5.75,1
19065,8.5,7.5,6
19066,8.25,5.5,6
19068,8,7.75,6.5
19069,7,5,3
19070,7,8.75,4.5
19071,7.25,6.75,3.75
19072,8,8.25,4.75
19073,8.75,8.25,5.75
19074,7,8.75,5.75
19075,5.75,3.25,3.5
19076,4.25,8.75,4.5
19078,8,7.75,4.75
19079,7.5,6,3.75
19080,7.25,8,4.5
19081,6.25,4,2.75
19082,6.75,3.5,2.75
19083,7.5,8.5,7
19084,6.25,7.25,2.75
19085,7.75,9.25,8.75
19086,7,8,6.75
19087,6.75,7,4.5
19088,5.25,4,4.5
19089,6.5,3.5,1.5
19091,6,6.5,3.75
19092,7.25,8.25,7
19093,6.25,7,4
19094,5.75,6.5,4.5
19095,8.75,8.25,6.25
19096,8.75,9.5,6.5
19097,8.25,8.5,7.25
19098,6.25,2.75,5
19099,7.75,7,3.75
19100,6.75,6.25,3.25
19101,7,8.25,4.75
19103,6.75,7.75,5
19104,7.75,7.5,6.25
19106,6.5,6,3
19107,7.75,6.75,7
19108,7.5,9.75,6.5
19109,6.5,6,1.25
19110,8,7.5,6.5
19111,7.75,9,7.25
19113,7.75,6.75,3
19114,6.75,4.25,4.25
19115,8.5,5,6.75
19116,7.75,3.5,5
19117,6.25,3.25,2.25
19118,8,7.25,4
19119,5.5,6.75,3.25
19120,6.75,5.25,5.5
19121,7,8,5.75
19122,7.5,6.25,4.5
19123,6.5,4,4.25
19124,7.25,4.75,4
19125,6.5,9,6
19126,7.5,9.25,4.75
19127,6,4,2.75
19128,6.75,7.5,6.75
19129,7.5,7,6.5
19130,6.25,5,5
19131,6.75,6.5,3
19132,8.25,7.75,7.25
19133,7.5,7.25,4.75
19134,7.25,8.25,4.25
19135,6.5,5.5,4.25
19136,7.75,8.75,6.75
19137,7,8.75,6.25
19138,6.25,8,4.5
19139,8.25,8,5.5
19140,6.75,3.75,4.5
19141,7.5,5.25,5
19142,7.5,7,6.5
19143,5.75,6.25,5
19144,7.75,8,6
19145,7.5,8.75,8
19146,6.5,4.5,3.75
19147,6.75,8,2.75
19148,7,9.25,7
19149,6.5,7.75,5.75
19150,5.25,7.75,3.5
19151,7,8,6.5
19153,4.25,6,2.25
19154,6.5,7,6
19155,6,6.75,1.25
19156,5,5,5
19157,4.25,5.75,2.25
19158,5,5.5,4.25
19159,5,4.75,4.5
19160,7.25,8.25,3.25
19161,7,8,7.25
19162,7.5,5.75,3.5
19163,6.75,8,5.75
19164,6,7.25,4.25
19166,7.25,9,8
19167,7.25,7.5,5
19168,5.25,6.25,4
19169,5.25,5.5,3.5
19170,5.5,4,2.25
19171,7,7,4.75
19172,6,9.25,4.25
19174,6,5.5,1.75
19175,7.25,8,5.25
19176,5.75,2.5,2.75
19177,7.5,6.75,6.5
19178,5.75,7,3
19179,5.5,5.75,3.5
19180,6.25,9,5.25
19181,6.5,6.5,6
19182,7.25,6.75,5.5
19184,8,7.25,5.25
19185,6.75,8,4.75
19186,6.75,8.25,3
19188,6.25,6.25,4.5
19189,6.75,7.75,6.25
19190,5.25,8.5,5.5
19191,6.5,8,4.25
19192,5.75,4.75,2.5
19193,6,7.5,6
19194,5,3.5,3.5
19195,5.5,5.75,3.25
19196,6,7.75,5.75
19197,4.75,7,2.75
19198,6,3.75,2.5
19200,6.5,8.25,6
19201,5.75,8,3
19202,6.5,7,6.25
19203,5.75,6.25,4.75
19204,6.5,7.25,5
19205,7,8.75,5.5
19206,5.25,4,4.75
19207,5.25,7.25,2.25
19208,7,9,6
19209,5.5,3.25,2.75
19210,6,6.5,4.5
19211,6.25,6.25,2.75
19213,6.25,6.75,3.5
19214,6.75,3.75,3.5
19215,8.5,8.5,7.5
19216,7.5,8.25,4.5
19218,7.25,5.25,4.75
19219,6.25,6.25,5
19220,5.25,4.25,3.25
19221,7.25,9.25,8
19222,5,5.25,1.75
19223,8.25,7.75,6.5
19224,5,4.75,2.25
19225,7.5,4,3
19226,8.5,9,7.25
19227,6.25,6.75,6.25
19228,6.5,4,1.5
19229,6.5,6.5,5.25
19230,6.25,7,6.75
19231,5.5,8.25,3
19232,8.25,9,6.75
19233,7.75,8.75,7.25
19235,6.5,7.5,6
19236,6.5,5,3.5
19237,6.5,8.75,5
19238,5.5,5.25,4.5
19239,7.75,8.75,4.75
19240,5.5,5.5,5
19241,6.5,6.5,5
19242,3,4,4.25
19243,7.25,8.5,5.5
19244,8,9.25,7.25
19245,5,4.75,2
19246,6,3.75,1.5
19247,7.25,5,3.25
19248,6.25,6,2.5
19249,8,8.75,5.5
19251,7,8.75,6.25
19252,7,5,1.75
19253,6.75,8.75,3.75
19254,5,3.25,4.5
19255,6,5,3.5
19256,8,9,6
19257,6,2.75,4.5
19258,7.75,7.5,6.75
19259,6.5,2.5,3.5
19261,6.5,5.5,5
19262,6.75,6.25,4.5
19263,6.25,4,2.25
19264,6.5,8.5,5
19265,8.25,7.75,6.75
19266,8.25,7,6.25
19267,8.25,7.25,5.25
19268,8,7.25,6
19269,8,7.75,2.5
19270,6.75,4,1.25
19271,6.75,8.5,5
19272,7,7.25,4.75
19273,8.25,8.5,4.5
19274,8,7.75,6.5
19275,8,8.75,7.25
19276,7.5,8.25,4.75
19277,8.25,7.75,7.25
19278,7,5,1.25
19279,7.5,4.75,0.75
19280,7,7.5,4
19282,6.25,8.25,4
19283,6,3.25,4.25
19284,5.75,8.25,5.5
19285,7,9.75,5.5
19286,5.5,6.25,2.5
19287,6.5,8.75,7.25
19288,7.5,9.75,7.75
19289,6,7.25,3.5
19290,5.25,3.25,2.75
19291,5.25,8.5,7.75
19294,4.25,5.25,1.75
19295,7.25,7.25,8
19296,6.25,5.25,4
19298,6.75,7.5,3.75
19299,6.25,4.75,5.5
19300,7,6.5,4
19301,6.75,7.25,5
19302,7.25,4.5,4
19303,5,5.25,3.5
19304,6.75,6.25,7.5
19305,5.25,3.75,3.25
19306,7,5.75,6.75
19307,5,5,2.75
19308,7.25,9,7
19309,7.25,8.5,7.25
19310,7.25,7.5,3
19311,6.75,5.5,4.25
19312,7.75,5.5,3
19313,6.25,3.75,3.75
19314,6.5,3.25,2
19315,5.75,7.25,4.5
19316,6.75,8,5.25
19317,6,4,1.25
19318,4.75,4,3.75
19319,4.75,6,4.5
19320,7,6.5,3.5
19321,5.25,4,2.5
19323,6.75,5.5,6
19324,7,3.75,6
19325,6,6.25,4.25
19326,5.75,4,5
19327,6.5,7.75,4.25
19328,6.25,7.75,4
19329,6,5.25,3
19330,6.5,9.25,5
19331,7,6,3
19333,6.5,3.25,3
19334,6,8.5,6
19335,5.5,7.25,4.5
19336,5.25,7.25,7.25
19337,6.5,7.75,3.75
19338,7.5,8.25,5
19339,7,5,4
19341,6.5,5.25,2.75
19342,6.25,7.25,5.25
19343,8,7.5,6.75
19344,7,7,5
19345,7,6.25,3.75
19347,5.5,5.25,0.75
19348,7.5,6,6.75
19349,7.5,7,7.25
19350,5,5,3
19351,5.75,3.75,2.5
19353,7.5,8.5,6.5
19354,7.25,6.5,4.25
19355,7.25,6.5,6.75
19357,5,3.5,4.25
19359,6.25,6.5,5.25
19360,5.5,3.5,3
19361,4.75,4.5,2
19362,5.75,6,2.75
19363,5.75,3.5,2.5
19364,8,8.75,6.5
19365,7.25,7.5,7.25
19366,7,7.5,6
19367,6.75,4,1.5
19368,6.5,8.25,4.75
19369,6.5,8.75,5.25
19370,6.25,7,2.5
19371,6.5,4,2.75
19372,6.5,3.5,6
19374,7.25,3.25,1.75
19376,5.25,5.25,3.5
19377,7.25,5.75,4.5
19378,7,8.25,5
19379,7.5,3.25,0.75
19380,7,5.75,5.5
19381,6.25,4.25,3
19382,7.25,4.25,4.75
19383,8,8.25,4.5
19384,6.75,5.75,4
19385,6.75,9,7.75
19386,6,6,6
19387,6.75,4,2.75
19388,6,3.25,1.75
19389,6,2.75,3
19392,6.25,3.75,2
19393,6.5,4.5,4.25
19394,6,6,3.5
19395,5.75,4.75,4
19397,6.75,7.5,6
19398,6.5,4.25,2.75
19399,6.75,5.75,4.25
19401,6,4,1.75
19402,5,8,4
19403,6.75,5.25,4.5
19404,6.25,5.5,4
19405,4.75,4.25,3
19406,6.75,7.5,5.75
19407,7.25,5,4.25
19408,6,8.25,5.25
19409,7.75,6.5,3.75
19410,6.25,5.25,5
19412,6.25,3.5,4.25
19413,6,6.75,4.25
19414,6.75,5,3.25
19415,6,7,6
19417,7,7.75,4.75
19418,7.75,4,3.25
19419,8,5,0.75
19420,8,8.5,7.75
19421,7.25,6,4
19422,7,6.75,7.25
19424,7.75,6,4.25
19426,7.25,8.5,7.25
19428,6.25,3,5
19429,4,3.25,4.25
19430,6.25,5.5,5
19431,5.75,5.25,3.5
19437,8,4.5,3.25
19439,8.25,6.75,6
19440,6.75,3,4.75
19441,7,7,3.75
19442,7.25,8,6.5
19443,8,8,4.25
19445,5.75,5.5,3.75
19446,6.75,3.5,6
19448,6.5,3.75,4.75
19449,7.5,5.25,4.25
19451,8,7.5,5.25
19452,7,8.75,5
19453,8.75,8.5,7
19454,8,7,5.25
19455,7.25,8.5,4.5
19457,6.75,7.5,4.5
19458,5,6,4.5
19460,7,8.25,6.5
19461,7,3.75,2.25
19464,5.25,7.25,6.5
19466,5.5,4.5,4.5
19470,5.5,2.5,4.25
19473,4.5,5.25,3.25
19474,7.25,8,6.25
19475,7.25,6.25,3.25
19476,5.5,3.75,4.25
19477,6.75,3.5,5.75
19478,6.75,7.5,4.75
19479,5.75,2.75,5
19480,5.25,5,1
19482,5.75,4.25,4.75
19483,5.75,4.25,2.75
19487,6.25,6.75,2.75
19489,7.5,7.25,5.75
19491,7.25,6.5,6
19493,6.5,7.25,2.75
19494,6.5,7,4
19495,7,7.5,4.5
19496,8,8.5,6
19497,6.75,4.75,3.75
19498,5.5,4.75,3.75
19499,3.25,5.75,3
19500,8.5,8,7
19502,5.5,6,5.25
19503,7,2.5,2.75
19504,8,6,8
19505,8.5,5.75,4
19506,6.25,3.75,2.75
19508,5.25,3.5,5.75
19509,7.75,5.5,3.75
19510,7.75,4.75,3.75
19512,6.25,4.75,4
19513,6.5,5.75,4.75
19514,6.75,4.75,1.25
19516,4,5.25,1.75
19517,3.75,5.75,1.5
19518,6,4.5,4.25
19519,7,4.25,1.75
19522,6.75,4.5,2
19523,5.75,3.75,2.5
19524,5.75,4.5,3
19527,6.25,3.5,2.75
19528,6,7.5,4.25
19529,6,3.25,2
19530,6,7,3.25
19531,6.25,4.5,5.25
19532,6,4,3.5
19533,6.5,6.75,6.25
19534,5.75,6,4.25
19536,7.5,8.5,7.25
19537,5.75,4.75,3.5
19538,6.75,4.25,2.5
19539,6,4.25,3
19540,7.75,5.75,5
19541,3.25,7.25,1.75
19542,8,8,6.25
19543,5.5,3.75,2.5
19544,5.25,5.5,4
19545,7,5.75,4.25
19546,7.5,6.5,3.75
19547,6,7,5.5
19549,6.75,4.5,3.25
19550,6.75,3,3
19551,5.25,3.5,2.5
19552,5.75,4.5,7
19553,6.5,2.75,4.25
19554,6.5,4,4.25
19555,7.75,7.25,6.5
19556,6.5,6,5.5
19557,5,3.75,3.5
19558,7.25,3.25,3.25
19559,7.25,6.5,3.25
19560,4.5,4.5,5
19561,7.75,2.75,4.5
19562,6.75,7.75,4.25
19563,4.5,6,1.5
19564,6.25,2.75,2
19566,7,6.5,5.25
19567,7.25,2.75,2.75
19568,5.75,3.75,4.75
19569,6.25,3.75,2.5
19570,8,5.5,2.25
19571,6.25,3.25,4
19572,5,4.25,2
19573,6.5,5,6
19574,7.75,7,5.25
19575,7.75,6.25,4.5
19576,8.25,7.5,5
19577,7,5.25,4
19578,6.25,2.25,3.5
19579,7.75,3.75,5
19580,6.75,2.5,2.75
19581,7.5,5,2.75
19582,6,4.5,6.5
19583,8.25,8.5,5.75
19584,8,8.75,5.75
19585,5.75,7,5
19586,7,3.75,1.25
19587,6,7.75,6
19588,5.75,5.75,4.75
19589,6.75,6.75,4.25
19590,5.5,3,3.5
19591,5.75,4.75,2.75
19594,7.25,7.5,5.25
19596,6.75,4.75,4.25
19598,6.5,4.75,1
19599,8,6.5,5
19600,5,5.25,5.25
19601,8.5,9.25,8
19602,6.5,5,4
19603,7.25,3,4.75
19604,7.25,6.75,3.75
19605,5.25,3.25,3
19608,6.5,3.75,3.25
19609,6.75,2.75,2.25
19610,8,8,5.25
19611,6.75,7.75,5.5
19613,6,6.75,3.25
19614,7,8.25,6.5
19615,6.5,7.25,6.75
19617,6.5,5.75,3.25
19618,5,5.5,4.5
19620,5.25,2.5,3.75
19621,6.5,4.5,5.25
19622,8.75,9.5,6.75
19623,7.25,5,3.75
19624,8,9,6.5
19626,7.25,8,7.5
19627,7,4.25,4.75
19628,6.25,2.75,4.5
19629,6,2.5,5
19630,7,2.5,3.25
19631,7.75,7.25,4.75
19632,6.75,4.25,4.75
19633,7.25,4.75,4
19634,7,7.5,4
19636,7.5,6,4
19637,6.5,4.25,2
19638,7,3.75,3.5
19639,8.25,7.25,7
19640,7.75,5.5,3
19641,7,5.25,5.5
19642,7.25,5,4.25
19643,5.25,4.5,1.75
19645,6.75,3.25,3.25
19646,7.25,8,7.25
19647,6.5,5.5,4.25
19648,7.25,7.5,6.25
19649,5.5,7.5,4.5
19650,6.5,2.25,3.25
19651,4.25,4.5,3.75
19652,5.25,4.75,2.25
19653,6.25,7.25,7
19654,6.25,5.25,2.75
19656,7.25,2.75,2.75
19657,6,4,3.25
19658,6.75,4,2.25
19659,7,6,2.25
19660,5,3.75,5
19661,7.25,5.75,3.5
19662,7.5,7.5,5.5
19663,6.75,7.75,4.25
19664,7,5.75,5.5
19665,6.75,5,3.5
19666,8.25,6.75,5.5
19667,7.5,8.5,7.5
19669,6.25,9,4.75
19670,6.75,6.25,3.5
19671,6.75,2.25,3
19672,7.5,6,5.25
19673,7.25,5,2.75
19674,8,6.5,3.75
19675,8,8.25,6.5
19676,5,4.75,1.25
19677,7.5,6,6
19678,6.5,3.5,1.5
19679,7.25,7.25,3.25
19680,6.25,7.25,1.75
19682,7.5,7,4.5
19683,6.25,4.75,4
19685,6.25,4.75,4.75
19686,6.25,8.25,5
19687,5.25,3.5,3.75
19688,5.75,3.25,4.5
19689,7.25,2.75,3.5
19690,7.5,9,7
19691,6.75,4.75,3.25
19692,8,6.25,4.25
19693,8.75,6,4
19694,7,3.75,3
19695,6.75,6,2.75
19696,6.75,5.25,3.5
19697,7.25,7,5.25
19698,4.75,5.25,3.75
19699,8.25,8.75,4.75
19700,6,2.75,3
19701,7.25,7,5.25
19702,6.5,3,2.5
19703,7.75,5.25,3.25
19705,7.5,5.75,5
19706,7.25,8.75,3.75
19708,7,4.5,3.75
19709,6,7.25,4
19710,7.75,7.5,4.75
19711,5,4.75,3
19712,6.25,6,3
19713,5.75,6.25,3
19714,7.75,5.5,3.25
19715,7.75,7,6.25
19717,5.25,5.75,3.25
19718,5.25,4.25,4.75
19720,5.25,6.5,2.25
19721,7.75,8.75,6.75
19722,6,7.75,6
19723,6.25,3.25,3.75
19724,7,8.5,7.25
19726,6.25,3,3.25
19727,6.25,6.25,7.5
19730,7.25,2.5,4
19732,6,3.75,4.5
19735,5,3.75,2.25
19736,5.75,7.75,4.75
19739,6.5,3.5,3.25
19740,7.25,6.75,5
19742,7.5,7.75,5.75
19744,5.25,7.25,3.5
19746,6.75,5,2.5
19747,6.75,5.5,3.5
19748,6.5,3.75,5
19750,6.75,5.5,2
19752,5.5,5.5,4.5
19755,6.75,5.25,2.5
19758,7.5,4.25,4
19759,8,4.5,3.75
19761,8.75,8,4.25
19762,7.25,4.25,3
19763,5.75,3,3.5
19764,5.5,3.75,4.5
19765,6.25,6.5,2
19766,6,5,3.75
19767,6.75,7.5,7.25
19768,8,7,3.75
19769,5.75,5.5,2.75
19770,4.5,6.5,5
19772,7,8.25,6.25
19773,5,4.5,2
19777,5.5,6.5,2.5
19778,8,9.5,7.75
19779,6.5,7.75,7.25
19780,6.25,3.25,2.25
19781,6,4.25,2.75
19783,6.5,4,4.25
19784,7.25,6.25,3.75
19785,7,7,6.5
19786,7.25,7.25,4.25
19787,7.5,4.5,4.5
19788,5.75,7.25,4
19789,5,3.75,2.5
19791,8.25,8.75,4.25
19792,8,6.75,5.75
19793,7,2.75,6
19794,7,6.25,4
19795,6.25,3.5,2
19797,8,7.75,4.5
19798,8,8.75,7.75
