"sbd","van","ngoaingu","toan"
276,6.75,7.75,4.75
277,9,9.25,6.75
278,8.5,6.25,5.25
279,6.75,2.75,3.5
280,6.75,6,4.75
281,8,7.5,4
282,8.25,7,3.75
283,8.75,7,6.75
284,8,6.25,5.75
285,6.5,8,4.25
286,5.25,5,1.75
288,7.75,7.75,6
289,7.75,7.75,5.25
290,7.75,8,1.75
291,7.75,8.75,6.5
292,6.25,8.5,5.5
293,5.75,10,4.75
294,7.75,6.5,4.75
295,6,7.25,0.25
296,7.25,4.5,3
297,6.75,7,2.75
298,7.75,9,6.25
299,7.75,7,4.25
300,7.5,7.25,1.75
301,6.5,7.25,3.5
302,7.5,6.25,4.25
303,7.5,6.75,5
304,6.25,3.5,4
305,7.25,6.75,4.25
306,8,6.75,4
307,5.75,5,0.75
308,8.75,8.5,7.25
309,7.5,8.25,5.25
312,7,6.25,4
313,7.25,3.5,3.5
315,8.25,8.25,6.5
316,7.25,3.5,4
317,8.5,4.75,4.5
318,7.75,9,5.25
319,7.75,6.75,3.25
320,8.5,7.25,4.25
321,8,7.25,8
322,8.5,4,3.5
324,8,8.25,1.75
325,7.75,8.75,5.25
326,7.25,8,5.25
327,7,8.75,5
328,6.5,3.75,3
329,8.75,8.25,7.75
330,8.5,8.5,2.75
331,8.25,8.75,5.5
332,8,8.5,5
333,8,7.5,8.5
334,8.5,8.75,5
335,7.75,7.25,3.75
337,7.75,8.5,8.75
338,7,3.75,2.25
339,7.75,9.25,5.75
340,7,8,8
341,5.75,6.25,5
342,7.5,8.75,6
343,8.75,9.25,6
344,6.75,5,2.75
345,6.75,5,4.75
346,6.75,9.25,7.75
347,4,5.25,3.5
349,6.5,5.5,4.5
350,6.75,8.5,5
352,6.5,7,4.75
354,7.75,8.25,3.75
355,7.25,7.75,4
356,8.25,9.25,5.75
357,5,5.25,5
358,7.25,7.25,5.25
359,6.25,4,3.5
360,7.75,9,6
361,6.75,5.75,6.25
363,7.25,6.5,2.75
364,6.75,6,4.25
365,6.75,7.75,4.25
367,7,6.25,5.5
368,3,6.75,2.5
369,8,9.5,5.5
371,7.75,8.5,6.75
372,7.75,9.25,3.75
373,6.25,4.75,3.25
374,7,8.75,6.25
375,7.5,7.75,5.5
376,7.5,4.25,4.25
377,7.5,6.25,5.5
378,8.25,8.75,4.5
379,7.25,5.75,6.25
380,7.25,7.25,4.5
381,7.5,8.75,4.75
382,8,8.75,6.25
385,7.25,7,7.25
386,7,6.75,5.75
388,6.25,4.5,1.75
389,5.75,7,3.25
390,8.25,9.75,7.5
391,5.5,3.5,2.25
392,8,7,3
393,5.25,6.25,5
394,7.75,6,2.75
395,5.75,2.25,4.5
396,8,4.5,3.5
397,7.5,9.5,7
398,8.25,7.75,6.25
400,7.5,5.75,3.25
401,5.5,5,2
402,8,9.25,6.25
403,7.5,7.75,6
404,8.25,7.25,5
405,6.25,7.5,4.5
406,7.75,8,4.75
407,7.75,5.25,2
408,7,6.75,5
409,8.25,7.75,4.5
410,7.75,10,5.75
411,7,7.25,6.75
412,6.75,5.25,2.25
413,6,7.5,4
414,6.75,5.25,4
415,8,5.25,5
416,8,7.5,8
417,6,4.5,4.75
418,6.5,9,3.5
419,5,5.25,3.75
420,8.75,9.75,6
423,7,7.25,4.75
424,8.25,8.25,7
425,6.75,8.5,5.75
426,8,8.75,8.5
427,7.25,8,4.5
429,6,3.75,1.25
430,6.25,3.5,2
431,7.5,8.5,5
432,6.25,6.75,4.25
433,7.25,7.5,5.75
434,5,5.75,3
435,8,8.5,3.75
436,6.25,4.5,2.25
438,5.75,3.75,1.75
439,6.75,3.25,3.75
440,7.75,6.75,4.75
441,6.25,4.75,3
442,7.25,7,4.75
443,4.75,5.75,3.5
444,7.25,7.75,6.5
445,7.25,8.5,4.5
446,6.75,8.25,5
449,7.25,2.75,2.5
450,6.5,6.5,5.5
451,6.25,4.75,4
452,6.25,5.75,4.75
453,5.75,6.25,2.5
454,7.75,7.75,5.5
455,6,5.25,2
456,6,7.75,2.75
457,6.75,4.5,4.75
458,4,8,4.75
459,5,4.5,1.5
460,7,6,5.25
461,7,9,4.5
463,5.75,6,1.5
465,8,9,6.5
466,5.5,7.5,6
467,7.75,8.75,6
468,7.75,7.5,4.75
469,7.5,7.5,3.75
470,7,3.5,3.25
471,6.25,3.5,4.5
472,6.25,8.75,5.5
473,6.75,8.75,5.25
474,7.5,8,5
475,5.25,6.25,1.75
476,6.5,8,1.75
477,6,9,7.25
478,6,5.75,1.5
479,6,9,5.25
481,6.25,6.75,4.75
482,5.25,4.75,4
485,8,9.5,8.5
486,8.5,8.5,6
487,8.5,8.5,5
488,7.25,4.75,4.25
489,6.75,4.25,1
490,7.25,8.75,5
491,8,8.25,6.25
492,8.25,8.5,6.5
493,8.25,7.5,5
494,6.5,7.5,4.25
495,7.75,5.75,4.5
496,6.75,5.5,6
497,7.25,9,5
498,7,5.25,5
499,7.75,6,4
500,8,8,4.25
501,6.75,6,6
502,7.25,8.75,7.75
503,4,4,4
505,8.75,7,7
506,7.25,3.75,3.25
507,5.75,3,5
508,6,4.5,1.75
509,7.25,9.5,5
510,6,4,2.25
511,6.25,7.75,5
513,6.25,3.25,5
514,8.75,6.75,6.25
515,8.75,8,7.75
517,6.75,7,1.25
518,8.25,6.75,7.25
519,6.25,7.75,5
520,5.5,3,3.25
521,6.75,8.25,4.75
522,7.5,9.25,6.25
523,7.25,5,3.25
524,8,6.25,6
525,6.25,5.25,1.5
526,7.5,8.25,6
527,6.5,8.75,4.75
528,3.75,5,3.75
529,6.75,4.75,4.75
530,8,5.25,5
531,8.25,9.5,8.25
532,6.75,5,5.25
533,7.25,7.5,5.5
534,7,7.25,4.25
535,6.5,3,2.5
536,8.25,8,5
537,5.75,4.25,4.75
538,7.75,7.5,5.75
539,7.25,6.5,5
541,7,7.5,4.25
542,7.5,4,4
543,7.5,7.5,5
544,4.75,7.5,3.25
545,7.75,6,6.5
546,7,6,4
547,7.25,4.25,3.75
548,6,5.25,3.25
549,6.5,3.5,3.75
550,6.75,9.5,7.25
551,7.5,5.25,5.5
552,8.5,9.25,8
553,7,5.5,6.5
554,5.75,8,3.25
555,7.25,7.25,6.5
556,7.25,6.25,5.75
557,8,6.75,4.25
558,8,9.25,6.25
559,7.75,8.75,7.75
560,6,7.75,4.75
561,5,5.25,3.75
562,6.5,6.25,5.5
564,6,2.75,4.25
565,8,6.5,4.5
566,6.25,5.25,5
568,5.5,4.5,3
569,6.25,5,4
570,7.25,6.75,3
571,6,8.5,6.5
572,6.25,6,3.75
574,6.25,5.5,3.75
576,6.25,8,7
577,7,7.75,6
578,7.75,4.75,4
579,8.75,8.5,7.25
580,6.75,7,5.5
581,7.75,9.75,8
582,7.25,9.25,6.75
583,6,4,2.75
584,8,5.75,5.25
585,6.25,6.5,3.5
586,7,5.5,4
587,6,4.5,4.5
588,8.5,7.25,6.25
589,5.5,4,5.25
590,7,7.5,4.5
591,5.25,3.25,3.5
592,7,8,8
593,8,8,7.5
594,7.25,4.25,5
595,6,2.5,3
596,5.5,4,3.75
597,7.25,4,2.75
598,8.75,8.75,7.5
599,7.75,6.25,4.25
600,6.5,6.75,4.25
601,5.75,3.75,3.75
602,5.5,6.5,3
603,4.25,6.25,5.25
604,5.5,6.75,3.75
605,8.5,5.5,6
606,6,5,5.75
607,5.75,3.25,4
608,6.25,8,4.5
609,6.75,4.25,5.75
610,5.75,4.5,3.5
611,6.25,6,4
612,8.25,7,3.75
614,7.5,6.5,7.5
615,8.25,8,7
616,7.25,8.25,5.5
617,6.5,6.5,8
618,7,8.25,4.75
620,5.75,4.5,6
621,7.25,6,5.75
622,7.5,6,3.5
623,6.75,6.5,3.75
624,7.5,6.75,7
625,7,7.5,5
626,7.5,5.5,1.75
627,6.5,7.75,5.75
628,7.5,7.5,4.5
629,6.75,10,7.25
630,7.75,9.25,5.5
631,7.75,9.25,8.25
632,5.5,4.25,5.5
633,5.5,5.5,3
634,6.25,8.5,6
635,7,10,8
636,6.25,3,3
637,5.5,8,4
639,6.75,4.5,5
640,4.5,3.5,3
641,6.25,4.5,5
642,6.5,6,3.5
644,6,7,6.25
645,5,5.75,5
646,5.25,8.5,2
647,8,6.25,3
648,6.5,5.75,2
649,6.5,6.25,3
650,7.5,4.75,3.25
651,6.25,8.5,4.25
652,7.25,7.5,6
653,7.75,3.5,3
654,6,4.75,2
655,8.5,6,6
656,7.75,7,4.75
657,7,4.75,4
658,8.25,7,6
659,6.75,6.25,4.5
660,6.75,4.75,3.5
661,5.5,7.75,5.5
662,7.5,8.5,4.25
663,8.5,6.75,7
664,6,3,2.75
665,8,7.75,6
666,6,5.5,5.5
667,6.75,4.75,3.25
668,7,7.75,5
669,6.25,6,4
670,7.75,6.75,4.75
671,7.5,3.75,3.75
672,8.25,7.25,6
673,5.75,5.75,4
674,8.25,4.5,4.25
675,7.5,5.25,3.75
676,7.25,8.5,5
677,7.75,7.75,6.5
678,4.5,5.75,1.75
679,7.25,5.5,6
680,6.5,5,3.25
681,6.75,4.75,2.5
682,6.75,3.5,4
683,6.5,6.25,5.75
684,7.75,3,3.25
685,7.25,8,5.5
686,8.25,9,4.75
687,7.5,5.75,4.25
688,8,7.75,6.5
689,8.5,9.25,5.75
690,8,9,5.5
691,8.25,7.25,4.5
692,8.25,7.75,5.5
693,6.75,1.75,2.75
694,8,8.25,6
695,7.5,5.5,4.75
696,7.25,7.25,3.25
697,7.25,4.5,4.75
698,8.5,6,6
699,7.25,5.75,3.5
700,7.75,7.75,6.5
701,7,5.5,6
703,8.25,6.75,5.5
704,7.25,5.25,7
705,4,5.5,2
706,7,6.5,4.5
707,7.25,7.25,7
708,7.25,5.5,3.75
709,6.75,6,4.75
710,8.25,3.75,4.5
711,6.5,6.5,5
712,6.75,4.25,4.75
713,6.5,9,5
714,7.25,4.75,6
715,8.25,9.5,6.25
717,6.75,7.75,7.5
718,8.5,9.5,7.75
719,5.25,6,3.75
720,4.5,6.5,3.5
722,5.25,2,5
723,6.5,3,4.75
725,5.5,4,5.25
726,6.5,4.5,5
728,7.5,6,5
729,7.75,2.5,1.75
730,5.5,5.5,2.5
731,8,7.5,6
732,6,5.25,8
733,6,7,2.75
734,7.25,5.5,4
735,7.5,7.75,6.75
736,5.5,5.5,2.75
737,8,9.25,4
738,5.25,5.75,3.5
739,5.5,9,4.75
740,5.5,5,4.75
741,6,4,3
742,8,7.75,7.5
743,7.75,7.25,8
744,7.5,6.5,6.5
745,7.75,3.75,2.75
746,6,4,3.25
747,7.5,4.5,6.25
748,8,7.25,6.75
749,7,7.25,5
750,7,6.5,8
751,8.5,7.25,5
753,6,2.75,3.5
754,7.5,5.25,5
755,6,4.5,4.25
756,7.75,8.25,7
757,7.25,7.5,8
758,6.5,4,4.25
759,7.25,6.75,4.5
760,7.5,8.75,6
761,6.75,9,5
762,7.25,6,3
763,5,4,3.75
764,6.75,9.25,5.5
765,5.5,4.25,1.75
766,6.75,2.25,2.25
768,8.25,9.5,7
769,7,6.5,5.25
770,8.5,9.5,8
771,6.75,6,5.5
772,6.25,9,5
773,7.25,9.5,2.5
774,7.5,7,6
775,7.5,7,6.5
776,6.75,6.5,5.5
777,6.75,5.5,2.25
778,5.75,3.25,3
779,5.75,7.5,1.5
780,6.75,9.25,7.75
781,6,3.5,7
782,5,3.75,3
783,7.75,7.75,7.25
784,6.75,7.5,1.5
785,6.25,5.75,0.75
786,7,5.5,4
787,6.75,6.25,4.25
788,7.25,6.75,4.5
789,7.5,5,5
790,6,9.5,7
791,7.5,5.5,5.5
793,7,4.5,2.75
794,6.5,3.5,3.25
795,6.75,7.75,4.25
796,7.5,9.25,6.75
797,7,7.5,3
798,8.25,7,4.75
799,8.75,9.75,8
800,6,3.5,2.5
801,6,7.25,4
802,7,4.5,2.75
803,5.5,9.25,5
804,6,5.25,3
805,7,5.75,4.5
806,6.5,7,3.5
807,8.25,9.75,8
808,7.5,8.25,5
810,7.75,5.25,5.75
811,7,9.25,4.5
812,6.5,6.75,7.25
813,6.75,10,6.25
814,6.75,5.75,4.75
815,6.25,6.75,3.75
816,5,7.75,4.25
817,7,5.75,3.75
818,5.25,6,4
819,6,5,6.25
820,6.5,8.75,7.25
821,7.25,3.75,3
822,8.25,6.75,5
823,6.25,9,8.75
824,6.75,4.25,1.5
825,7.25,6.5,6
826,7.5,9.25,7
827,7.75,5.75,4.5
828,7,5,5.25
829,4,7,4.75
830,7,6.5,5.5
831,6.5,5.5,3.25
832,6.75,5.25,4.75
833,7.25,5.5,6
834,7.5,8,7.25
835,7,3.75,4
836,8,8.75,7.75
837,6.5,4,3
839,6.5,5.75,5.5
840,4.75,3.5,2.75
841,6.5,7.5,3.75
842,7.5,6.25,7.25
843,5,4.5,4
844,6.25,5.25,3
845,6.25,5,3.5
846,7,4.25,2.75
847,5.75,7,4
849,8.5,8,4.75
850,7.75,7.5,6.5
851,8.25,9.75,7.25
852,6.75,7.25,7.25
853,5.5,4.25,4.5
854,8,8.75,8.75
855,6.25,4.75,2.75
857,7.75,5.75,7.25
858,7.75,9,8.25
859,7.5,4.5,4.5
861,8,6.25,1
862,7.25,2.75,3
863,7,7.25,7
864,6.75,8.5,3.25
865,6.75,4.75,1.75
866,7,7,3
867,6.25,3.75,3.25
868,8.25,4.5,3.5
869,7.25,3.25,3
870,7.25,5.25,3.5
871,7,2.5,2.25
872,8.25,8.5,6.75
873,6.25,7.75,3
874,7,7.25,4.5
875,7.5,5.5,2.5
876,7,3.5,2.75
877,8.5,8,5
878,7.5,5.5,4
879,7.75,7.5,3.75
880,5.5,4,4.5
881,8,6.75,7.25
882,7.5,4.5,3.75
884,7.25,2,3.75
885,7.25,3,3
886,5.25,3.5,4.5
887,8,7.5,6.5
888,8.25,8.5,7.5
889,8.5,7.75,6.75
890,7.75,6,3.5
891,8,8.75,7.25
892,7,4.5,3.75
893,3,6.5,4
894,8,6.25,2.5
895,6,8.25,2.75
896,6.5,5.25,1.5
897,6.5,6.75,3
898,5.25,7.75,4.75
899,6,5,2.5
900,7.5,9,6.75
901,7.5,9,7
902,7.25,8.5,7.75
903,5.5,3.75,2.75
904,6.75,7.75,8
906,7.5,6.25,5
907,6.25,7.25,4.75
908,8.25,3.25,3.5
909,5.5,5,2.75
910,8,8.25,7
911,7.5,5.25,5.25
912,6.25,5.5,4
913,5,5,3.5
914,5.75,5.5,0.5
915,6.25,6.25,2
916,6.75,7.25,1.75
917,8,6.25,5.75
918,8,8.75,7
919,8,6,4.75
921,6.5,3,3.25
922,8.25,8.5,5
923,6.5,4.75,5.5
925,6.75,7.25,6
926,6.75,8.5,6.75
927,6.25,5.75,5.75
928,6,5,3.5
929,7.75,8.5,7.5
930,6,4,3.25
931,6.5,7.25,6
932,6.25,6.25,1.75
933,7,8.5,3
934,5.5,3.75,2.5
935,9,8.5,7.75
936,5.5,6.75,5
937,7.25,3.75,5.25
938,9,8.5,4.5
939,8.25,5,6
940,8,4.5,2
941,8.25,7.25,5.5
942,7.25,7,6
943,8.5,6.75,6
944,7.75,8.75,3.5
945,8.25,8.25,7.25
946,5.5,5,1.75
947,7.5,6.25,7
948,7,8.75,4
949,7,7.5,3
950,7,5.5,3.75
951,6.5,7.75,2.5
952,8.25,9.5,6.5
953,7.75,4,4
