"sbd","van","ngoaingu","toan","chuyen"
90838,8.25,9.75,8.5,3.5
90839,8.25,9.25,4.75,2.75
90840,6.5,9.75,8,6.5
90841,7.75,9.5,6.75,3.5
90842,8.75,9,7,4.25
90843,8,8.75,6.5,1.75
90844,6.75,9.75,7,5
90845,7.5,8.5,6.75,3
90846,8.25,8.75,7.5,3.25
90847,8.25,10,8,5.5
90848,7.5,9.5,8,5.5
90849,8,10,6.5,3.25
90850,7.75,8.5,7.75,2.75
90851,7.75,8,7.75,2.25
90852,8.25,8.25,5,2.75
90853,7.75,8,5,2.25
90854,7.25,10,7,3.5
90855,8.25,8.5,7,2.25
90856,8,9.25,6.25,2
90857,8.5,9,7.75,3.75
90858,8.25,9.5,4.5,5.25
90859,7.5,10,6,7.5
90860,7.75,8.5,6,3.5
90861,8,9,6.5,2.25
90862,6,9.75,7,5.5
90863,8.5,8.75,7.25,2.25
90864,8.5,9.75,7,4
90865,7.75,9.75,7.5,5.75
90866,8.5,9.75,7.5,4
90867,7.75,8.75,6.5,2
90868,8,9.25,8,3.25
90869,8.25,9.5,5.5,2.5
90870,8,9.5,6,3.5
90871,8.5,7.25,5,2.5
90872,8.25,8.5,6.75,2.75
90873,7.75,9.75,7.25,4
90874,7.75,8.5,6,3
90875,7.25,9.5,7.25,6
90876,8.25,8.75,6,3.5
90877,8,9,7,3.25
90878,7.25,9.75,6,4.75
90879,8,9.75,5.5,4.25
90880,6.75,8.5,6.75,2.25
90881,7.25,9.25,8.25,5
90882,7.25,9.75,9,8
90883,7.75,7.75,6,2.5
90884,8.5,8.5,6,2.25
90885,7.25,9.25,6.25,3
90886,7.25,8.5,7,3
90887,7.75,10,7.25,3.5
90888,7.75,9.75,7,4.25
90889,8.25,8.25,7.5,2.75
90890,8,9.25,7.75,4.5
90891,7.75,8.5,7.5,2.5
90892,8.75,10,7.25,2.75
90893,8.5,10,6.75,5.5
90894,9,9.75,8,4
90896,9,8,6,2.25
90897,9,9.75,7.25,6.5
90898,8.5,9.25,7.75,4.25
90899,8.5,9.25,5.75,3.5
90900,8.5,9,7.5,2.25
90901,7.75,8.25,5.5,2
90902,8.25,10,8,5.75
90903,6,9.25,7.25,3.75
90904,8.75,10,8.5,7.5
90905,7,7.75,5.75,1.25
90906,7.5,9.75,8,3
90907,8.25,9.25,8,4
90908,7.75,10,6.5,4.75
90909,7.25,9.5,5.5,2.75
90910,7.25,8.5,4.5,2.5
90911,6.75,7.25,7.75,2.25
90912,8.25,9.75,9.25,8.75
90913,8.5,9.75,8.25,8
90914,7,7.25,6,1.5
90915,7.75,8.75,7.25,8
90916,7.25,9,7.75,5.75
90917,7.25,10,8,6.25
90918,7.5,9.25,7,7
90919,7,8.75,5,3
90920,8,9.75,7.5,7.25
90921,8.5,8.75,7.25,8.5
90922,8.5,10,5.75,4.5
90923,8.25,8,8.75,8.5
90924,7.5,9.75,8.25,6.5
90925,8.5,9.25,8,7
90926,8.25,8.5,6.25,6.25
90927,6.5,8.75,5.75,2
90928,8,8.25,8.75,7.75
90929,8.25,9,8.75,7.25
90930,6.25,8.75,5.5,2.5
90931,7.5,8.75,7.5,5.25
90932,7.75,10,8.75,8.25
90933,8.5,8.5,6,6
90934,8,7.5,6.75,6
90935,8,9.25,7.5,5.5
90936,8,8.75,8,4.25
90937,8.25,9.5,7.5,6.75
90938,8.5,9,8.75,6
90939,7.5,9.5,7.75,5.5
90940,7.75,9.25,6,6.5
90941,7.75,9.75,6.75,4.5
90943,7.5,8.25,7.25,4.5
90945,7.75,9,6,4.25
90946,8,8.25,6.75,3
90947,8.25,9.5,7,7
90948,7,6.75,7.5,3.75
90949,8.5,9.25,9.25,6
90950,8.5,9,8.75,6.5
90951,7.75,8.25,6,3.25
90952,8.5,8.75,7.75,6
90953,8.25,9.25,8,6.5
90954,8.5,9.75,8.75,8.75
90955,5.5,8.5,6.5,1.75
90956,8,9.75,7,5.5
90957,7,8.25,5.25,1
90958,6,6.75,7,3.5
90959,7.5,7.25,7,2
90960,8.5,9.25,8.5,6.75
90961,8,10,8.25,8.25
90962,7.75,8.75,7.75,4
90963,7.25,7.25,8.75,8.75
90964,7.5,9,6.25,2.25
90965,7.25,9.5,8,5.75
90966,6.75,7.75,4.5,3.25
90967,8,9.25,8,7.75
90968,7.5,9.5,7.75,4
90969,8.75,9,8.75,8.5
90970,8,9.75,8.75,8
90971,8.5,9.5,7.25,7.5
90972,8.5,9.75,8.75,8.5
90973,4.75,9.5,5.75,6.25
90974,7.75,9,6.75,5.25
90975,6.25,8.5,8.75,2.5
90976,8.25,9.25,7.75,4.5
90977,6.25,8.25,5.25,3.25
90978,8,9.75,8.5,9.5
90979,7.25,9,6.25,5
90980,8.5,9.75,9.25,9.5
90981,6.75,9.75,8,9.75
90982,8.5,9,8.5,8.25
90983,7,8.75,5.75,3
90984,7.5,6.75,5.5,2.25
90985,7.75,8,7.75,9.5
90987,7.75,9.5,8.75,7.5
90988,7.75,8.75,8,7.75
90989,8.5,9.75,8.75,9
90990,8,9.75,8,8.25
90991,8.25,9,8,4.75
90992,6.5,9.5,8,8.25
90993,7.5,8.5,8.25,6
90994,7,7.5,4.75,2.25
90995,8.5,9,6.75,5
90996,7.75,8.25,7,4.25
90997,7.75,8,8,5.75
90998,8.25,9.5,9.25,7.25
90999,7.75,9.5,5.75,5.5
91000,8.25,9.5,7.25,6.5
91001,7.75,9,8,5.5
91002,8.5,9,9.25,9.5
91003,8,9.25,6,4.25
91004,6,9.25,6.25,3.25
91005,6.75,9.75,7.5,5.5
91006,8,9.75,8.75,7
91007,7.25,9.5,7.25,8
91008,7.75,9.5,7.25,8.5
91009,8,8.75,7,4.75
91010,8.25,8.75,7.25,4.75
91011,7,9,8.25,9
91012,8.25,9.75,6.5,3.25
91013,7.25,9,7.25,7.75
91014,6.75,9.5,7,7.25
91015,7.5,9.5,6.25,7.25
91016,8.5,9.75,8,10
91017,8.5,9.75,8.75,8.5
91018,7.5,8.25,8.5,3.25
91019,7.25,7.25,8.75,6.25
91020,7.5,9.5,7.5,8
91021,7,9.5,7,7
91022,8,9,9,9
91023,7.5,8.75,7.25,4
91024,7.75,9.25,8.5,6.75
91025,7,9.5,7.75,9.5
91026,6.75,8.5,7.25,5.5
91027,6.75,8.5,8.25,8
91028,7,8.75,8.75,7.5
91029,7.25,8.25,6,4.25
91030,7.25,9.25,7,6.25
91031,8.5,9.25,8.75,8.5
91032,7.25,6.75,6.5,1.25
91033,8.75,9,7.75,6.5
91034,7.25,9.75,8,6
91035,7.25,9.75,8,5.75
91036,7,9,7.5,6
91037,7.75,9.25,8.75,5.25
91038,7.5,8.75,7,6.25
91039,7,7.75,4.75,7.5
91040,6.75,9.25,5.75,3.5
91041,6.75,9.75,8.75,9.75
91042,7.25,9,7,5.5
91043,7.5,10,7,5.5
91044,7,9.5,7,8.25
91045,7.75,8.75,7.25,8
91046,5.5,8.25,6,4.75
91047,7.5,9,8.25,6.75
91048,6.75,9,7.25,6.5
91049,8.75,9.25,8.75,8
91050,6.25,7.5,4.75,1.5
91051,6.5,9,8.75,8.5
91052,7,9.25,8.75,9
91053,8,8.25,6.75,3
91054,8.25,8,6.75,4.5
91055,7.75,8.25,8.5,7
91056,8.25,7.25,6.75,3
91057,8,8.5,6.25,2.5
91058,9,9,7.75,5
91059,8.25,9.75,7.25,3
91060,7.75,8.5,7.75,7.5
91061,7.5,9.5,7.5,6
91062,8.25,9.25,8.75,9.5
91063,7.5,9.5,8.5,8.75
91064,7.5,9,8,7.5
91065,8.5,8.75,8.5,3.25
91066,7,9.25,8.25,9
91067,8,8,7.25,5
91068,7.75,8.25,8,3.25
91069,8.25,9.25,8.5,2
91070,8,9.75,8.5,6.75
91071,8.5,8.75,7,1.5
91072,8,9.5,7.75,7.25
91073,7.25,9.25,4.75,5
91074,6.5,8.25,7,5.75
91075,8.5,9.5,8,4
91076,8,8.75,8.75,9
91077,7.5,8.75,8.25,4.75
91078,7.5,8.75,7,3.25
91079,8.25,10,7.75,5.75
91080,8.25,9.25,8,6.25
91081,8,8.5,6.75,2.75
91082,8.75,9,7.75,5
91083,8.25,9.75,7.25,10
91084,7.75,8,5.25,2.25
91085,7.5,8,6.25,5.5
91086,8.25,9.25,7.75,8.75
91087,7.5,9.75,7.75,6.75
91088,7.5,8.75,7.25,4.5
91089,8,8.25,5.5,1.25
91090,7.75,9.25,8.5,9
91091,7,9.5,7.75,5.5
91092,7,8.75,7.25,1
91094,7.75,8.5,6.5,5.25
91095,6.75,9.75,7.75,4.5
91096,7.75,9.5,8.5,8.25
91097,7.75,10,8.75,6.5
91098,6.5,4.25,7,4.25
91099,8.25,10,8.75,7.75
91100,7,7.25,7.75,5.25
91101,7.75,8.5,8,2.75
91102,7.5,8.75,7.25,4.25
91103,7.25,9.25,8,7
91104,7.5,8,5.25,1.75
91105,7,8.75,6.5,3.5
91106,8.5,10,8.25,7.5
91107,7.25,8,8,5.75
91108,8.25,8.5,8.5,8.5
91109,7,5.75,6.5,3.5
91110,7.75,10,8.75,7.5
91111,7.25,9.75,7.75,2
91112,8.25,8.75,8.75,8.5
91113,6.75,7.75,7.25,6
91114,8.75,10,8,9.25
91115,8.75,6.25,5.25,1.75
91116,7,9.5,6.75,6.25
91117,6.25,6.75,7,2.5
91118,7.75,9.25,7,5
91119,8.75,9.75,5.75,4
91120,8.25,8.5,7,3.25
91121,8,10,8.75,7.5
91122,8.5,9,7.75,4.75
91123,7,8,7.25,3.25
91124,8,9,6.75,2.25
91125,7.75,8.25,6.75,1.5
91126,8.75,9.5,7.75,7.5
91127,8.5,10,8.5,8.75
91128,7.75,7.5,5,2.5
91129,7.25,9.5,7.25,9.25
91130,7.75,7,4.5,2.5
91131,7.75,10,8.75,9
91132,8.25,8.75,8.25,4.75
91133,7.25,6.75,4.75,4.25
91134,6.75,8.75,7.25,8.5
91135,7.75,7.75,7.25,1.75
91136,7.75,9.25,7.75,4.25
91137,4.25,8.5,4.25,2.25
91138,7.25,9,7.25,2.75
91139,8,9.75,8.75,6.75
91140,7.75,8.75,8.25,6.25
91141,7.5,7.25,8,6.5
91142,7.75,9.5,7,6
91143,7.75,9.25,3.75,2.25
91144,6.75,9.25,7.5,4.25
91145,7.75,9.5,8,7.75
91146,7.75,10,9,8.5
91147,6.75,9.25,8.75,5.75
91148,6.75,9.5,8,8.25
91149,7.5,9,6,4.25
91150,7.75,8.25,7.25,4.5
91151,6.75,9.5,8.25,7
91152,8,9.5,7.5,6
91153,8.25,8.5,6.5,0.5
91154,7.25,9.5,7.25,6.25
91155,7.25,8,7.25,6.25
91156,7,10,8.75,7
91157,7.25,8.5,5.75,2.5
91158,6.75,8.75,6.25,1.25
91159,7,9,6.75,6.75
91160,7.5,9,6.25,3
91161,8,9,7.25,6.5
91162,8.75,9.25,7.25,9.25
91163,7.25,9,6,3.75
91164,6.75,10,7.75,7.75
91165,9,8.25,7,7
91166,7.25,7.5,7.25,2.25
91167,8,9,8,9
91168,8.25,6,6.75,3.5
91169,7.75,8.25,8,2.5
91170,7,6.5,7.5,2
91171,9.25,9.25,8,5.25
91172,7.25,9.25,7,6.5
91173,7.25,9.75,7.5,5
91174,8.75,9.5,7.75,5.5
91175,8.75,9,7.5,6
91176,7.5,7.75,6,2.75
91177,7,7.5,7.25,5.25
91178,8,9.5,7.75,5.5
91179,5.5,8.25,6,8.5
91180,8.75,6.75,8,6.75
91181,8.5,10,7.25,9.25
91183,8,9,7.5,5.5
91184,8.5,9.75,8.75,5.75
91185,8.25,9.25,9.25,8.75
91186,7.5,8.25,6.75,5
91187,8.5,9,6.5,3.75
91188,8.25,7.75,5.5,2.5
91189,8.5,9.25,6.75,6.75
91190,8,7.75,6.25,4.25
91191,7.75,8.75,7.25,4.75
91192,8.75,8.5,9,7.5
91193,7,7.75,9,5
91194,7.75,9.5,8,7.5
91195,8,6.5,7.25,5
91196,8.25,9.25,7.75,7.5
91197,8,9.5,8.25,5.5
91199,8.5,9.75,8.75,7.5
91200,8.5,6.75,5.25,0.25
91201,8.25,9.5,9.25,8.5
91202,8,8.75,7.75,4.75
91203,8.5,8.25,8.25,5
91204,8.25,9.5,8.5,6.25
91205,7.75,9.5,8.75,5
91206,7.5,8,7.75,2.5
91207,7.25,9,7.25,6.25
91208,8.5,9.25,8.25,7
91209,8.25,7.75,7.75,6
91210,6.75,9,8.75,7
91211,8.5,9,8,9
91212,8.5,6.25,7.75,1.75
91213,7.75,10,7.5,8.5
91214,7,9.25,7,2
91215,8.25,8.75,7.25,5.5
91216,6.25,8.5,8.25,1
91217,8.5,9.5,8,6.75
91218,8.25,9,8.75,7.5
91219,7,9.75,8,8.25
91220,7.75,10,8.5,8.25
91221,7.5,7.5,8,6.5
91222,8,8.75,8.25,6
91223,8.25,9.75,8.75,7
91224,6.5,9,5.5,2.5
91225,7.25,8.25,6,4.75
91226,8.5,9.5,7.5,6.5
91227,6.25,9.5,6.75,4
91228,7.25,9.25,7,7.25
91229,8,9.5,9.25,6
91230,8.25,9,8,5.25
91231,7.5,9.25,8.25,6.25
91232,7.5,8.75,7.5,4.25
91233,8.75,9.25,8,7.75
91234,7,9,7.75,6
91235,6.75,7.5,7,3.75
91236,7.25,9,8,6.75
91237,7.5,8.5,7.75,7
91238,7,9,7,1.5
91239,6.75,8.25,6.75,5.75
91240,8.25,9.5,9.25,7.5
91241,7.25,8.75,7,6.5
91242,7,7,6,0.75
91243,8.25,9.5,8.75,8.5
91244,6.75,9,4,1.75
91245,7.25,9,8.25,4.5
91246,7.5,5.5,8.75,4.25
91248,7.5,8.5,7.25,0.75
91249,8.5,9,7.25,3.25
91250,8.25,10,8,4.5
91251,7.25,10,7.75,6.5
91252,8.5,8.75,7.25,4.5
91253,7.5,8.75,7,0.5
91254,8,8.5,9,6.25
91255,8,7.5,4.75,0.5
91256,7.5,5.25,6.75,6.75
91257,8,9.75,8.5,7
91258,8.25,9.75,8,4.75
91259,9,9.75,8.75,3.5
91260,8.25,9,6.25,4.75
91261,8.75,10,7.5,7
91262,8,10,6,6.75
91263,7.75,8.75,8.5,5.5
91264,7.75,9.75,8,4.5
91265,8,8.5,7.5,4.75
91266,7.75,8,8,2.25
91267,8.5,8.5,7.5,4.5
91268,7,9,8,4.75
91269,8,8.25,8.75,8.5
91270,7.75,10,8.75,8.5
91271,8.25,9.5,8.75,10
91272,8,9.5,8.75,6.75
91273,7.75,9.5,8.25,8.75
91274,7.75,7.25,8.5,6.75
91275,7,8.75,8.25,5.75
91277,7.5,9.25,6.75,6.25
91278,8.25,7.75,5.75,5.5
91279,8,8.75,8,5.25
91280,7.5,9,8.5,5.5
91281,7.75,9.75,8.5,7.25
91282,7.75,8.25,8.5,5.25
91283,7.25,9.5,8.25,8
91284,6.75,8,8,6
91285,6.75,9.25,8.75,5
91286,8,9.5,8.75,8.75
91287,8.25,8.5,6.75,6.5
91288,7.25,9,7.75,5.75
91289,7,9.25,7.25,4.25
91290,7.5,9.5,7.75,6
91291,8,9,7.75,8.75
91292,7.25,8.25,8.5,7.25
91293,6.25,7,7.25,1.75
91294,7.25,8.5,8,6.75
91295,7.5,6.5,6,0.5
91296,7.75,7.25,5.25,1.5
91297,8,9.5,9.25,9.5
91298,8,9.5,8,9.5
91299,7.75,9.5,6.25,6.75
91300,7.25,8.5,6,4
91301,9,9.25,8.75,9
91302,8,9.5,7.5,6.5
91303,6.25,9.5,8,6.5
91304,8.75,9.5,9,9
91305,7.75,9,7.25,5.25
91307,7.5,9.5,8.5,6.25
91308,7.75,9.5,8.25,9.75
91309,8,10,6.75,9.5
91310,8,9,7.75,7.25
91311,7.5,8.75,7.5,5.75
91312,8.25,9.75,8.75,10
91313,9,8,7,2.5
91314,8.25,9.75,8.75,8
91315,8,9,8.5,5.25
91316,7.25,7.75,8.25,5.5
91317,8,8.75,8,6
91318,7,9,8,6.5
91319,8,10,6.25,4
91320,8,8.75,6.25,4.75
91321,8.5,9.25,4.25,5.75
91322,8.25,9,7.25,6
91323,7.75,8.5,7.5,3
91324,7.75,8.25,6.5,6.5
91325,5.5,8.25,4.5,3.5
91326,6.75,8.5,7,1.5
91327,8,8,6.25,3.5
91328,8,9.5,6.5,6
91329,8,9.75,8.75,7.5
91330,7.75,9.5,5.75,6.5
91331,9,9.5,6,6.5
91332,7.5,9.5,7.5,6.5
91333,8,9.25,6.5,6.25
91334,8.25,9.5,8,7.5
91335,8.75,9.5,8,8.5
91336,8,9.75,6.25,8.75
91337,7.5,9.5,7.25,8.5
91338,7.75,9.75,7.5,8.25
91339,7.75,9.5,8,7.25
91340,8,9.5,6.5,4.75
91341,8.5,9.5,7,7.5
91342,8.5,9.75,7.75,7.25
91343,7.75,7.5,5.5,1.5
91344,7,9.25,7.25,4.25
91345,7.75,8.75,7.75,3
91346,8,9.5,6.5,5.5
91347,8,9.5,7.25,8
91348,8.5,9.75,8.5,6
91349,7.25,8.75,7.75,0.75
91350,8,9.5,7.5,7.5
91351,7.25,9.5,6,6.25
91352,8,7,4.25,2.5
91353,5.75,9.5,7.25,2
91354,8.5,6.5,8,1.5
91355,8.75,10,6.75,6.75
91356,7,9,6.75,6.5
91357,8.75,8.25,6.75,5
91358,8.75,9,7.75,3.25
91359,8.5,9.75,8.25,8
91360,8,9,7.25,1.5
91361,8.5,8.5,8,1
91362,8.75,8.5,7,5
91363,9,9,8.25,8.5
91364,8,9.25,6.5,3.5
91365,8.25,8.75,7,3
91366,8,7.25,7.75,1.5
91367,7.75,9,7.75,5.5
91368,7.75,9.25,6.75,3.5
91369,8.75,9.75,7.25,6.5
91370,8,6.75,6.5,5
91371,8,9.25,7,3.25
91372,8.5,8.5,6,6.5
91373,8.75,9,7,7
91374,7.5,9.5,7.75,4.25
91375,7.5,9.5,7.5,7.25
91376,8.5,8.25,7.25,5
91377,7.5,8.75,7.25,1
91378,9,9.5,8.5,5
91379,8,9,7.25,4.75
91380,8,5.25,7.25,3
91381,8.5,10,8,7.25
91382,6.75,6.5,6.5,1.5
91383,8,7.5,5.75,3
91384,7.25,8.75,7,3.5
91385,8,8,6.5,4.75
91386,7.75,9.5,7.5,4.5
91387,7,7,6.5,6
91388,8,9,8,6.25
91389,8.5,9.75,7.5,5.5
91390,8,8.5,7,6.75
91391,8.25,9.75,7.75,6
91392,8.5,9.25,6.75,3.5
91393,7,5.75,5,4
91394,7.5,9.25,7.75,4.25
91395,5.75,9.75,8,5.25
91396,7.75,8.75,6.25,1.5
91397,9,9,8.5,4.75
91398,8.75,9,8.25,4
91399,6.25,8.75,4.5,4
91400,7.5,8.5,5.5,5.25
91401,7.5,9,7.25,5.25
91402,7.25,9.5,7.25,6.75
91403,7.75,9.25,7,8
91404,8.25,8.25,7.25,1
91405,7.25,8.5,6.75,3
91406,7.5,9.25,7.75,1.5
91407,8,9,7.5,2.75
91408,8.5,8,5.25,4
91409,7.5,7.5,5.5,3.25
91410,8,9.75,7.5,6.5
91412,8.75,9,5.5,5.5
91413,6.5,8.75,6.25,5.5
91414,7.75,9.75,8.5,6.25
91415,7,9.25,7.75,6.25
91417,7.75,7.25,7.75,4.75
91418,7.5,8.75,6.25,4.25
91419,7.5,9.5,8.75,6.25
91420,7.5,7.5,5.75,1.75
91421,8,8,5.25,4.75
91422,7.25,8.25,6.75,4
91423,7.5,8.25,7.5,4.75
91424,7,8,8.25,6.75
91425,6.5,8.5,4.75,2.75
91426,8.25,7.75,7.5,4
91427,7,9.25,6.5,5
91428,7.75,8.75,7.75,5.75
91429,7,8.25,7,2.25
91430,6.25,9.75,7,5.75
91431,7.5,8.25,6.75,3
91432,7.5,8.75,5,4.25
91433,6.75,9.25,8,3
91434,8,9.5,5.25,5.75
91435,6.25,9,8.25,4.75
91436,6.75,7.5,7,3.25
91437,8,8.5,6.5,3.5
91438,8.25,8.75,8.25,4.75
91439,8.5,9,8.5,3.5
91440,8.25,7.75,5.75,3.5
91441,7.75,8.5,7.25,3.5
91442,7.25,7.25,7,5
91443,7.75,8.25,7.25,6.25
91444,7.5,9.75,7.75,5.5
91445,7.75,9.5,7.25,4.5
91446,8,8.5,7.75,7
91447,6.75,9.5,8,5.25
91448,7.5,9.25,7.5,3.75
91449,7.75,9.5,7,5
91450,7.75,6.25,6,5
91451,8,8.75,8,1.75
91452,7,8.75,7,4.75
91453,6.75,9.5,6.75,4.75
91454,8,9,8,6.25
91455,8,8.75,8,3
91456,7.5,9,7.75,6.75
91457,8,9,5.75,5.5
91458,8.5,9.75,8.25,5
91460,8.5,8.75,6.5,6.5
91461,8,9,7.75,5.5
91462,8,9,7,7
91463,7.25,9.5,8,7.75
91464,8.25,10,8.25,8.5
91465,8,9.5,8,4.25
91467,7.5,8.25,7.25,5.75
91468,7.5,7.75,7.5,1.5
91469,8.25,10,8.75,5.75
91470,8,9.75,8,0.75
91471,7,9.75,6.75,5.5
91472,8.25,10,7.5,5.75
91473,8,9.5,7.5,4.5
91474,8,9.25,7.75,5
91475,7.5,10,7.5,5.25
91476,8.25,9.25,7.75,5.5
91477,8.5,10,8,6.5
91478,7.75,8.5,7,5.5
91479,7.25,9.25,8.75,6.5
91480,7.5,7,7.5,2.5
91481,6.75,9.5,7.25,3.5
91482,8,10,8.5,8
91483,7,9.5,7.75,6.25
91484,7.75,10,8.5,7.25
91485,7.75,8.5,8.25,4
91486,7.75,8.5,6.5,5
91487,7.25,8,8.75,0.25
91488,7.5,8,8.25,2.75
91489,7.5,8.75,8,1.5
91490,7.75,8.75,8.5,1
91491,7,8.5,8.5,3.25
91492,7.25,9.75,8.5,0.75
91494,7.75,7,8.5,1
91495,7.25,8.75,6.75,1
91496,7.25,6.5,7.75,0.25
91497,8.25,9.25,8.25,2.25
91498,7.5,8.75,8.5,0.75
91500,8.5,9.75,7.25,4
91501,8,9.25,9.75,4
91502,7,8.75,8.5,4.5
91503,8,9,5.5,0.25
91504,7.75,8.25,8.75,1
91505,6.75,7,8,1.5
91506,7,8.5,8.75,2
91507,8.25,9,8,2.25
91508,7.5,8.5,8.75,2.5
91509,7.25,10,8.75,2.5
91510,8,10,8,0.5
91511,8.25,9.5,10,1
91512,7.75,9.25,8.75,2.25
91513,6.75,8.75,8.75,1.75
91514,8.5,9.5,8.75,2.75
91515,8,9.25,7,3
91516,7.5,7,8,2
91517,7.75,9.5,6.5,1
91518,8.75,9.25,8,3.25
91519,8.25,9.75,8.75,2.5
91521,8.5,10,9.25,4.5
91522,8.5,9.25,7.75,0.25
91523,7.75,8,8.5,1.75
91524,8.25,9.75,9,2.25
91525,8.25,7.25,6.5,0.25
91526,8,9.75,8,5.75
91528,8.75,9.5,7.75,2
91530,7.75,9,8,3.5
91531,7,9.5,8.5,1.25
91532,7.75,8,6.5,1
91533,8,9.5,8.75,2.25
91535,7.75,8.5,8,1
91536,7,9.75,8.25,3.5
91537,7.5,6.25,7.5,0.25
91538,7.5,10,9,4.25
91539,7.75,10,8,1.75
91540,8.75,10,6.75,1.5
91541,8.25,9.75,9,5.5
91542,7.5,9,8.75,4.5
91543,7.75,10,9.25,5.75
91545,8.25,9,7.75,2
91546,7.5,8.25,8.75,2.5
91548,7.75,7.75,8.75,1.25
91549,8,9.5,8.25,2.25
91550,7.5,9.25,8.75,2
91552,8.75,9.5,9.25,4
91553,6.5,7.5,8,1.75
91554,7.75,9.5,8.75,6
91555,7.75,9.75,7.5,1
91556,8,9,8.75,2.25
91557,6.75,8.25,8.5,1.75
91558,7,9.25,8.75,2.5
91559,6.5,7.75,7,2
91560,8.5,9.5,8.25,1.5
91562,8.25,8.5,7.25,1.25
91563,7,7.75,7.5,0.5
91564,8.5,8.75,7.75,0.25
91565,9,8.75,5.5,1.25
91566,8,9.5,8.75,1
91567,8.25,9.25,8.25,1.75
91568,8.75,9.5,8.25,2.5
91569,7.75,9,7.75,0.25
91570,7.75,5.25,6.5,0.75
91571,8,9,9.5,1.25
91572,7.75,9.5,8.75,2.5
91573,8.75,9.75,8.75,6.5
91574,8.5,9,7.75,4
91575,8,8.5,7.25,0.5
91577,8.25,8.25,6,0.25
91578,8.75,8.25,7.75,0.25
91579,7.25,9,7.5,1
91581,7.25,7.25,8.25,5.75
91582,8,9.25,7.5,1
91583,8,9.25,8.75,4.25
91584,8.25,9.5,8.75,3
91585,8.25,10,9,3.25
91587,8,10,7.5,1.5
91588,7.75,9.75,7.25,2
91589,7.75,9.75,9,2.5
91590,7.75,10,9.25,5.5
91591,8,8.5,7,1
91592,7.75,9.75,9.25,4.25
91593,6.75,9.5,8,0.5
91594,7.75,9,8.5,1.25
91596,7.5,8.75,7.25,0.25
91597,8.5,9.75,8,0.5
91598,6,8.75,7,0.75
91599,4.75,8.5,7.75,0.75
91600,6.25,8.75,8.5,0.75
91601,7.75,9.5,8.75,2
91603,6.75,7.25,8.5,3
91604,7.25,7.25,7.75,1.75
91605,7.5,8.25,8.5,1
91606,7.25,8,7,1.75
91607,7.75,9.25,6.75,1
91608,7.5,9.25,7.5,2
91609,7.75,9.75,8.25,4.25
91611,7.5,8.25,8.5,1
91614,7.25,8.75,8.5,1.5
91615,8,8.5,7.75,1
91616,8,8.5,8.5,3.75
91617,7.75,9.75,7.25,1
91618,7,8.75,8.25,2.25
91619,7,9,6.5,5.5
91620,7.75,9,9.5,3.5
91621,7.75,9,7,2.5
91622,7.75,9.5,6.25,6.75
91623,8,9.5,10,2
91624,7.75,8,6.5,1.25
91625,8.5,8,8,1
91626,8.25,8.75,7.5,2
91627,7.75,8.25,7.5,1
91628,7.75,9.75,8,3
91629,7.5,9.25,8.75,2
91630,8,7.25,6.25,0.75
91631,7.5,9.5,8.25,3.25
91632,6.25,9.25,8.5,2.25
91634,6.5,8,7.5,1.5
91635,7.5,7.25,8,1.25
91636,8,9.25,8.5,3.5
91637,8.5,8.75,8,1.5
91638,6.25,10,7.25,2.75
91640,8,8.25,9.75,5.25
91641,8,8.25,7.25,2.25
91642,7.5,9,7,0.25
91643,7.25,9,9.25,2.75
91644,7.75,9.5,7.25,5.5
91645,7.25,8.5,7.75,1.5
91646,7.5,8.25,7.25,2.75
91647,6.25,8.5,7.75,2
91649,7.75,8,7.25,0.75
91650,7.75,9,8.5,3
91652,7.75,9.75,8.75,5
91654,8,8.25,8.75,3.75
91655,8,9,8.5,1
91658,7.75,9.5,8.25,2.5
91659,7.5,8.25,8.75,1.75
91660,8,9.5,7.75,3.5
91661,8,9,9,2.5
91662,8.5,9.5,8.25,2.75
91663,7.25,7.75,7.25,0.5
91664,6.75,9.5,8,1.5
91665,6.25,8.5,7.5,1
91668,7.75,7.75,6.5,1.75
91669,7.25,7.25,7.5,2.5
91670,8,9.75,9.75,4.25
91671,7.5,8.75,8,1.75
91672,7,9.5,9,3.5
91673,6.75,9,8.25,0.5
91674,8.25,9.25,7.5,2.5
91676,7.75,8,7.25,3
91678,6.75,9,7.75,1
91683,8.5,9.75,8,3.5
91686,8.75,9.5,8.5,0.25
91687,7,9.25,8,1.25
91688,7,8.75,7.5,1
91689,7,10,6.75,1.5
91690,7,8.5,8,1
91691,7.75,9,7.5,0.5
91692,6.75,8.5,8,1
91693,6.5,9,7.75,0.75
91694,8.75,9.75,8,2.25
91695,7.75,9.25,7.75,3.25
91696,6.75,9.25,8.25,1
91697,9,9,9.5,1.75
91698,7.75,9.5,8,0.25
91702,7.5,9,7.75,2.5
91703,8,9.75,9.25,5
91704,8.5,9.25,8,3.25
91705,8.25,9.25,7.25,1
91706,7.5,7.75,8,1.5
91707,8.25,8.5,7.75,0.5
91710,8.5,9.25,8,3.75
91711,8.25,9.75,9.25,2.75
91712,8.5,9.5,9.25,6
91714,7.25,9,7.75,0.5
91715,8.25,9.5,8,4.5
91717,6.75,5.75,7.25,1
91718,7.75,9.75,8.25,6.5
91719,8.25,10,8.75,6
91720,8,9.75,7.75,2
