"Tỷ lệ thất nghiệp và thiếu việc làm của lực lượng lao động trong độ tuổi phân theo vùng và phân theo giới tính chia theo Năm, Vùng, Tỷ lệ và Giới tính"

" ";" ";"Tỷ lệ thất nghiệp";" ";" ";"Tỷ lệ thiếu việc làm";" ";" "
" ";" ";"Chung";"Nam";"Nữ";"Chung";"Nam";"Nữ"
"Sơ bộ 2017"
" ";"Bắc Trung Bộ và duyên hải miền Trung";3.11;5.54;2.40;5.47;5.44;5.47
" ";"Tây Nguyên";2.00;3.05;1.61;5.73;4.99;6.00
" ";"Đông Nam Bộ";3.99;4.54;3.37;3.31;1.50;5.52
" ";"Đồng bằng sông Cửu Long";3.31;4.54;2.97;9.33;5.46;10.49
"2008"
" ";"CẢ NƯỚC";2.38;4.65;1.53;5.10;2.34;6.10
" ";"Đồng bằng sông Hồng";2.29;5.35;1.29;6.85;2.13;8.23
" ";"Trung du và miền núi phía Bắc";1.13;4.17;0.61;2.55;2.47;2.56
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.24;4.77;1.53;5.71;3.38;6.34
" ";"Tây Nguyên";1.42;2.51;1.00;5.12;3.72;5.65
" ";"Đông Nam Bộ";3.74;4.89;2.05;0.21;1.03;3.69
" ";"Đồng bằng sông Cửu Long";2.71;4.12;2.35;6.39;3.59;7.11

