site,parameter,date,year,month,day,hour,aqi,unit,duration,qc_name,aqi_categ
Hanoi,PM2.5 - Principal,2015-01-02T20:00:00Z,2015,01,02,20,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T21:00:00Z,2015,01,02,21,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T22:00:00Z,2015,01,02,22,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T23:00:00Z,2015,01,02,23,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T00:00:00Z,2015,01,03,00,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T01:00:00Z,2015,01,03,01,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T02:00:00Z,2015,01,03,02,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T03:00:00Z,2015,01,03,03,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T04:00:00Z,2015,01,03,04,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T05:00:00Z,2015,01,03,05,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T06:00:00Z,2015,01,03,06,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T07:00:00Z,2015,01,03,07,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T08:00:00Z,2015,01,03,08,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T09:00:00Z,2015,01,03,09,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T10:00:00Z,2015,01,03,10,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T11:00:00Z,2015,01,03,11,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T12:00:00Z,2015,01,03,12,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T13:00:00Z,2015,01,03,13,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T14:00:00Z,2015,01,03,14,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T15:00:00Z,2015,01,03,15,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T16:00:00Z,2015,01,03,16,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T17:00:00Z,2015,01,03,17,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T18:00:00Z,2015,01,03,18,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T19:00:00Z,2015,01,03,19,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T20:00:00Z,2015,01,03,20,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T21:00:00Z,2015,01,03,21,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T22:00:00Z,2015,01,03,22,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-03T23:00:00Z,2015,01,03,23,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T00:00:00Z,2015,01,04,00,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T01:00:00Z,2015,01,04,01,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T02:00:00Z,2015,01,04,02,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T03:00:00Z,2015,01,04,03,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T04:00:00Z,2015,01,04,04,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T05:00:00Z,2015,01,04,05,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T06:00:00Z,2015,01,04,06,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T07:00:00Z,2015,01,04,07,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T08:00:00Z,2015,01,04,08,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T09:00:00Z,2015,01,04,09,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-04T10:00:00Z,2015,01,04,10,NA,UG/M3,1 Hr,Missing,NA
