Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2017-12-01 01:00 AM,2017,12,01,01,110.4,179,Unhealthy,113.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 02:00 AM,2017,12,01,02,140.0,195,Unhealthy,169.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 03:00 AM,2017,12,01,03,121.1,185,Unhealthy,102.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 04:00 AM,2017,12,01,04,86.6,167,Unhealthy,52.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 05:00 AM,2017,12,01,05,59.2,153,Unhealthy,31.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 06:00 AM,2017,12,01,06,71.3,159,Unhealthy,83.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 07:00 AM,2017,12,01,07,54.0,147,Unhealthy for Sensitive Groups,36.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 08:00 AM,2017,12,01,08,43.0,119,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 09:00 AM,2017,12,01,09,37.5,106,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 10:00 AM,2017,12,01,10,35.1,99,Moderate,32.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 11:00 AM,2017,12,01,11,30.5,90,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 12:00 PM,2017,12,01,12,28.3,85,Moderate,26.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 01:00 PM,2017,12,01,13,30.2,89,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 02:00 PM,2017,12,01,14,31.9,93,Moderate,33.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 03:00 PM,2017,12,01,15,29.9,88,Moderate,27.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 04:00 PM,2017,12,01,16,28.4,85,Moderate,26.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 05:00 PM,2017,12,01,17,26.8,82,Moderate,25.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 06:00 PM,2017,12,01,18,30.1,89,Moderate,35.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 07:00 PM,2017,12,01,19,32.0,93,Moderate,36.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 08:00 PM,2017,12,01,20,40.5,113,Unhealthy for Sensitive Groups,48.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 09:00 PM,2017,12,01,21,48.5,133,Unhealthy for Sensitive Groups,56.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 10:00 PM,2017,12,01,22,54.8,149,Unhealthy for Sensitive Groups,61.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-01 11:00 PM,2017,12,01,23,60.4,154,Unhealthy,65.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 12:00 AM,2017,12,02,00,62.6,155,Unhealthy,64.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 01:00 AM,2017,12,02,01,62.9,155,Unhealthy,63.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 02:00 AM,2017,12,02,02,65.6,156,Unhealthy,68.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 03:00 AM,2017,12,02,03,72.4,160,Unhealthy,79.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 04:00 AM,2017,12,02,04,65.2,156,Unhealthy,57.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 05:00 AM,2017,12,02,05,60.3,153,Unhealthy,55.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 06:00 AM,2017,12,02,06,49.6,136,Unhealthy for Sensitive Groups,38.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 07:00 AM,2017,12,02,07,42.7,119,Unhealthy for Sensitive Groups,35.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 08:00 AM,2017,12,02,08,38.9,109,Unhealthy for Sensitive Groups,35.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 09:00 AM,2017,12,02,09,38.5,108,Unhealthy for Sensitive Groups,38.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 10:00 AM,2017,12,02,10,40.8,114,Unhealthy for Sensitive Groups,43.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 11:00 AM,2017,12,02,11,43.8,121,Unhealthy for Sensitive Groups,46.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 12:00 PM,2017,12,02,12,42.9,119,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 01:00 PM,2017,12,02,13,42.5,118,Unhealthy for Sensitive Groups,42.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 02:00 PM,2017,12,02,14,44.7,124,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 03:00 PM,2017,12,02,15,45.4,125,Unhealthy for Sensitive Groups,47.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 04:00 PM,2017,12,02,16,51.3,140,Unhealthy for Sensitive Groups,59.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 05:00 PM,2017,12,02,17,63.5,155,Unhealthy,74.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 06:00 PM,2017,12,02,18,73.3,160,Unhealthy,83.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 07:00 PM,2017,12,02,19,81.3,164,Unhealthy,89.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 08:00 PM,2017,12,02,20,89.0,168,Unhealthy,96.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 09:00 PM,2017,12,02,21,90.7,169,Unhealthy,92.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 10:00 PM,2017,12,02,22,97.9,173,Unhealthy,105.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-02 11:00 PM,2017,12,02,23,102.5,175,Unhealthy,107.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 12:00 AM,2017,12,03,00,106.9,178,Unhealthy,111.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 01:00 AM,2017,12,03,01,100.6,174,Unhealthy,94.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 02:00 AM,2017,12,03,02,103.0,176,Unhealthy,105.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 03:00 AM,2017,12,03,03,111.0,180,Unhealthy,119.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 04:00 AM,2017,12,03,04,116.2,182,Unhealthy,125.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 05:00 AM,2017,12,03,05,203.6,254,Very Unhealthy,288.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 06:00 AM,2017,12,03,06,172.7,223,Very Unhealthy,141.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 07:00 AM,2017,12,03,07,154.4,205,Very Unhealthy,136.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 08:00 AM,2017,12,03,08,119.1,184,Unhealthy,83.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 09:00 AM,2017,12,03,09,97.9,173,Unhealthy,76.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 10:00 AM,2017,12,03,10,85.4,166,Unhealthy,72.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 11:00 AM,2017,12,03,11,91.5,170,Unhealthy,97.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 12:00 PM,2017,12,03,12,89.4,169,Unhealthy,87.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 01:00 PM,2017,12,03,13,80.8,164,Unhealthy,72.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 02:00 PM,2017,12,03,14,78.8,163,Unhealthy,76.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 03:00 PM,2017,12,03,15,75.8,161,Unhealthy,72.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 04:00 PM,2017,12,03,16,72.9,160,Unhealthy,70.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 05:00 PM,2017,12,03,17,72.1,160,Unhealthy,71.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 06:00 PM,2017,12,03,18,76.6,162,Unhealthy,81.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 07:00 PM,2017,12,03,19,80.6,164,Unhealthy,91.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-12-03 08:00 PM,2017,12,03,20,91.5,170,Unhealthy,109.1,UG/M3,1 Hr,Valid
