"Diện tích rừng bị cháy phân theo địa phương chia theo Tỉnh, thành phố và Năm"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015"
"Quảng Ngãi";2.0;10.0;45.0;..;4.0;2.9;1.5;93.6;95.2;19.7;62.0;62.0;8.2;15.7;16.9;24.0;2.6;32.0;..;58.9;0.1
"Bình Định";8.0;1.6;23.8;19.6;17.0;16.7;15.7;202.0;9.0;23.0;80.0;70.0;23.6;68.0;21.0;35.3;95.3;18.0;..;414.2;114.0
"Phú Yên";26.0;10.0;107.0;310.0;147.0;22.0;237.0;98.0;17.0;25.8;45.0;5.5;9.4;147.1;14.3;215.7;138.8;25.8;10.2;278.6;..
"Khánh Hoà";31.0;18.9;23.0;120.0;36.0;12.8;51.0;104.0;26.9;10.6;259.2;..;2.0;2.5;..;29.6;4.2;10.4;1.0;24.2;7.4
"Ninh Thuận";1584.0;..;190.0;..;33.0;..;..;..;293.0;19.0;..;..;..;23.1;34.1;..;..;..;..;0.4;..
"Bình Thuận";59.0;40.4;43.0;52.0;32.0;46.7;..;8.0;..;524.0;..;1.0;..;..;..;..;..;..;..;..;16.7
"Tây Nguyên";2344.0;618.3;179.4;1246.1;211.4;98.0;301.5;348.6;187.2;367.6;1612.7;232.6;420.7;113.3;25.4;238.4;214.5;3.1;196.5;40.5;155.0
"Kon Tum";58.0;..;45.7;373.5;108.0;33.0;126.8;144.8;62.6;22.2;1483.3;178.4;249.9;28.3;9.9;171.0;67.5;..;..;0.3;15.0
"Gia Lai";475.0;408.3;42.9;481.6;33.0;6.0;104.1;130.0;103.6;25.2;..;27.4;158.6;62.9;..;65.4;122.0;..;189.4;..;..
"Đắk Lắk";513.0;16.0;34.8;52.0;14.4;23.0;18.6;62.0;..;83.0;52.4;..;2.0;21.1;..;..;..;3.1;..;16.0;125.0
"Đắk Nông";..;..;..;..;..;..;..;..;..;..;9.0;9.0;..;..;9.2;..;10.0;..;0.9;..;..
"Lâm Đồng";1298.0;194.0;56.0;339.0;56.0;36.0;52.0;11.8;21.0;26.0;68.0;17.8;10.2;1.0;6.3;2.0;15.0;..;6.2;24.2;15.0
"Đông Nam Bộ";520.0;373.7;313.6;2067.7;458.4;124.2;127.7;246.3;121.0;97.6;355.8;38.3;22.2;32.9;6.2;24.6;..;0.0;3.8;15.3;18.7
"Bình Phước";25.0;3.7;35.6;613.0;362.0;20.2;..;16.0;42.0;7.0;58.0;23.0;3.0;11.2;4.0;24.6;..;..;..;..;0.5
"Tây Ninh";202.0;51.0;32.0;207.2;6.0;1.5;23.3;52.0;11.4;55.1;263.4;6.0;17.2;15.2;0.1;..;..;..;..;10.9;5.6
"Bình Dương";..;..;31.0;..;..;11.0;5.0;23.0;15.0;11.0;19.0;2.0;2.0;0.5;..;..;..;..;..;3.0;..
"Đồng Nai";235.0;251.0;57.0;1106.0;40.0;19.5;52.0;119.0;24.3;18.5;9.3;6.7;..;..;..;..;..;..;3.8;1.4;4.0
"Bà Rịa - Vũng Tàu";58.0;68.0;158.0;141.5;50.4;72.0;47.4;36.3;24.8;5.0;5.8;0.5;..;6.0;2.1;..;..;..;..;..;8.6
"TP.Hồ Chí Minh";..;..;..;..;..;..;..;..;3.5;1.0;0.3;0.1;..;..;..;..;..;..;..;..;..
"Đồng bằng sông Cửu Long";2072.0;19.6;314.2;10213.3;12.3;98.5;287.7;10137.1;939.4;1611.5;1399.3;114.6;326.4;296.9;63.5;849.5;7.1;21.4;2.3;0.7;25.8
"Long An";205.0;2.0;..;224.0;..;31.0;..;1485.0;102.2;484.6;553.5;24.0;107.0;27.5;62.3;282.1;6.1;21.4;0.7;..;8.0
"Tiền Giang";..;..;..;..;..;..;..;150.0;..;50.0;272.2;..;25.2;..;..;..;..;..;..;..;..
"Bến Tre";..;..;..;..;..;..;0.1;..;..;..;..;..;..;..;..;0.3;..;..;..;..;..
"Đồng Tháp";37.0;10.0;12.0;9.3;2.0;4.0;0.4;7.8;..;4.9;6.2;0.3;2.4;..;..;307.1;..;..;..;..;0.8
"An Giang";79.0;7.3;3.7;29.0;10.3;63.0;0.2;0.5;16.2;13.6;41.2;..;25.0;179.8;..;..;..;..;..;..;..
"Kiên Giang";..;..;243.0;8653.0;..;..;..;4069.0;726.0;1058.0;446.0;85.0;86.8;87.0;..;218.4;..;..;1.6;0.7;17.0
"Cần Thơ";..;0.3;0.5;31.0;..;..;..;1.8;..;0.2;..;..;..;..;..;..;..;..;..;..;..
"Hậu Giang";..;..;..;..;..;..;..;..;..;..;2.3;0.3;..;..;..;..;..;..;..;..;..
"Sóc Trăng";8.0;..;5.5;57.0;..;..;..;..;..;..;0.9;..;..;..;..;..;..;..;..;..;..
"Bạc Liêu";..;..;..;..;..;..;287.0;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Cà Mau";1743.0;..;49.5;1210.0;..;0.5;..;4423.0;95.0;0.2;77.0;5.0;80.0;2.6;1.2;41.6;1.0;..;..;..;..

"Giai đoạn 1995 - 2003, số liệu của tỉnh Lai Châu bao gồm cả "
"tỉnh Điện Biên, tỉnh Đắk Lắk bao gồm cả tỉnh Đắk Nông, thành "
"phố Cần Thơ gồm cả tỉnh Hậu Giang. Từ năm 2008 tới nay, số liệu "
"thành phố Hà Nội bao gồm cả tỉnh Hà Tây."

