"province","year","fire_damage"
"Lâm Đồng",2010,2
"Bình Phước",2010,24.6
"Tây Ninh",2010,0
"Bình Dương",2010,0
"Đồng Nai",2010,0
"Bà Rịa - Vũng Tàu",2010,0
"TP.Hồ Chí Minh",2010,0
"Long An",2010,282.1
"Tiền Giang",2010,0
"Bến Tre",2010,0.3
"Đồng Tháp",2010,307.1
"An Giang",2010,0
"Kiên Giang",2010,218.4
"Cần Thơ",2010,0
"Hậu Giang",2010,0
"Sóc Trăng",2010,0
"Bạc Liêu",2010,0
"Cà Mau",2010,41.6
"Hà Nội",2011,0
"Hà Tây",2011,0
"Vĩnh Phúc",2011,30.7
"Bắc Ninh",2011,0
"Quảng Ninh",2011,3
"Hải Dương",2011,0
"Hải Phòng",2011,0
"Hà Nam",2011,0
"Ninh Bình",2011,0
"Hà Giang",2011,6.3
"Cao Bằng",2011,0.3
"Bắc Kạn",2011,1.6
"Tuyên Quang",2011,0.6
"Lào Cai",2011,0
"Yên Bái",2011,263.2
"Thái Nguyên",2011,6.4
"Lạng Sơn",2011,7.6
"Bắc Giang",2011,89.5
"Phú Thọ",2011,0
"Điện Biên",2011,1.2
"Lai Châu",2011,67.3
"Sơn La",2011,14.7
"Hoà Bình",2011,0
"Thanh Hoá",2011,9.4
"Nghệ An",2011,2.9
"Hà Tĩnh",2011,24.5
"Quảng Bình",2011,7.2
"Quảng Trị",2011,94
"Thừa Thiên - Huế",2011,52.4
"Đà Nẵng",2011,16.9
"Quảng Nam",2011,14.9
"Quảng Ngãi",2011,2.6
"Bình Định",2011,95.3
"Phú Yên",2011,138.8
"Khánh Hoà",2011,4.2
"Ninh Thuận",2011,0
"Bình Thuận",2011,0
"Kon Tum",2011,67.5
"Gia Lai",2011,122
"Đắk Lắk",2011,0
"Đắk Nông",2011,10
"Lâm Đồng",2011,15
"Bình Phước",2011,0
"Tây Ninh",2011,0
"Bình Dương",2011,0
"Đồng Nai",2011,0
"Bà Rịa - Vũng Tàu",2011,0
"TP.Hồ Chí Minh",2011,0
"Long An",2011,6.1
"Tiền Giang",2011,0
"Bến Tre",2011,0
"Đồng Tháp",2011,0
"An Giang",2011,0
"Kiên Giang",2011,0
"Cần Thơ",2011,0
"Hậu Giang",2011,0
"Sóc Trăng",2011,0
"Bạc Liêu",2011,0
"Cà Mau",2011,1
"Hà Nội",2012,64.9
"Hà Tây",2012,0
"Vĩnh Phúc",2012,8.8
"Bắc Ninh",2012,0
"Quảng Ninh",2012,5.5
"Hải Dương",2012,0
"Hải Phòng",2012,0
"Hà Nam",2012,0
"Ninh Bình",2012,0
"Hà Giang",2012,87
"Cao Bằng",2012,0
"Bắc Kạn",2012,23.2
"Tuyên Quang",2012,21.9
"Lào Cai",2012,0
"Yên Bái",2012,0
"Thái Nguyên",2012,0
"Lạng Sơn",2012,43
"Bắc Giang",2012,31.5
"Phú Thọ",2012,20.2
"Điện Biên",2012,57.6
"Lai Châu",2012,613.7
"Sơn La",2012,1.8
"Hoà Bình",2012,15.4
"Thanh Hoá",2012,0
"Nghệ An",2012,48.3
"Hà Tĩnh",2012,0
"Quảng Bình",2012,0
"Quảng Trị",2012,11.2
"Thừa Thiên - Huế",2012,64.1
"Đà Nẵng",2012,86.5
"Quảng Nam",2012,70.2
"Quảng Ngãi",2012,32
"Bình Định",2012,18
"Phú Yên",2012,25.8
"Khánh Hoà",2012,10.4
"Ninh Thuận",2012,0
"Bình Thuận",2012,0
"Kon Tum",2012,0
"Gia Lai",2012,0
"Đắk Lắk",2012,3.1
"Đắk Nông",2012,0
"Lâm Đồng",2012,0
"Bình Phước",2012,0
"Tây Ninh",2012,0
"Bình Dương",2012,0
"Đồng Nai",2012,0
"Bà Rịa - Vũng Tàu",2012,0
"TP.Hồ Chí Minh",2012,0
"Long An",2012,21.4
"Tiền Giang",2012,0
"Bến Tre",2012,0
"Đồng Tháp",2012,0
"An Giang",2012,0
"Kiên Giang",2012,0
"Cần Thơ",2012,0
"Hậu Giang",2012,0
"Sóc Trăng",2012,0
"Bạc Liêu",2012,0
"Cà Mau",2012,0
"Hà Nội",2013,8.9
"Hà Tây",2013,0
"Vĩnh Phúc",2013,63.7
"Bắc Ninh",2013,0
"Quảng Ninh",2013,0
"Hải Dương",2013,0
"Hải Phòng",2013,0
"Hà Nam",2013,0
"Ninh Bình",2013,0
"Hà Giang",2013,2.4
"Cao Bằng",2013,11.5
"Bắc Kạn",2013,2.2
"Tuyên Quang",2013,0
"Lào Cai",2013,0
"Yên Bái",2013,4.3
"Thái Nguyên",2013,11.2
"Lạng Sơn",2013,23.1
"Bắc Giang",2013,12.7
"Phú Thọ",2013,5.2
"Điện Biên",2013,7.7
"Lai Châu",2013,79.6
"Sơn La",2013,0
"Hoà Bình",2013,0
"Thanh Hoá",2013,1.2
"Nghệ An",2013,7.9
"Hà Tĩnh",2013,0
"Quảng Bình",2013,0
"Quảng Trị",2013,3
"Thừa Thiên - Huế",2013,2
"Đà Nẵng",2013,4
"Quảng Nam",2013,30.6
"Quảng Ngãi",2013,0
"Bình Định",2013,0
"Phú Yên",2013,10.2
"Khánh Hoà",2013,1
"Ninh Thuận",2013,0
"Bình Thuận",2013,0
"Kon Tum",2013,0
"Gia Lai",2013,189.4
"Đắk Lắk",2013,0
"Đắk Nông",2013,0.9
"Lâm Đồng",2013,6.2
"Bình Phước",2013,0
"Tây Ninh",2013,0
"Bình Dương",2013,0
"Đồng Nai",2013,3.8
"Bà Rịa - Vũng Tàu",2013,0
"TP.Hồ Chí Minh",2013,0
"Long An",2013,0.7
"Tiền Giang",2013,0
"Bến Tre",2013,0
"Đồng Tháp",2013,0
"An Giang",2013,0
"Kiên Giang",2013,1.6
"Cần Thơ",2013,0
"Hậu Giang",2013,0
"Sóc Trăng",2013,0
"Bạc Liêu",2013,0
"Cà Mau",2013,0
"Hà Nội",2014,5.4
"Hà Tây",2014,0
"Vĩnh Phúc",2014,9.3
"Bắc Ninh",2014,0
"Quảng Ninh",2014,7
"Hải Dương",2014,33.8
"Hải Phòng",2014,0
"Hà Nam",2014,0
"Ninh Bình",2014,6.5
"Hà Giang",2014,43.7
"Cao Bằng",2014,49.4
"Bắc Kạn",2014,36.6
"Tuyên Quang",2014,3.5
"Lào Cai",2014,40.6
"Yên Bái",2014,67.1
"Thái Nguyên",2014,7.5
"Lạng Sơn",2014,70.9
"Bắc Giang",2014,2.8
"Phú Thọ",2014,0
"Điện Biên",2014,41.5
"Lai Châu",2014,0
"Sơn La",2014,119.9
"Hoà Bình",2014,0
"Thanh Hoá",2014,0
"Nghệ An",2014,35.1
"Hà Tĩnh",2014,53.1
"Quảng Bình",2014,5
"Quảng Trị",2014,236.6
"Thừa Thiên - Huế",2014,23.1
"Đà Nẵng",2014,27
"Quảng Nam",2014,17.6
"Quảng Ngãi",2014,58.9
"Bình Định",2014,414.2
"Phú Yên",2014,278.6
"Khánh Hoà",2014,24.2
"Ninh Thuận",2014,0.4
"Bình Thuận",2014,0
"Kon Tum",2014,0.3
"Gia Lai",2014,0
"Đắk Lắk",2014,16
"Đắk Nông",2014,0
"Lâm Đồng",2014,24.2
"Bình Phước",2014,0
"Tây Ninh",2014,10.9
"Bình Dương",2014,3
"Đồng Nai",2014,1.4
"Bà Rịa - Vũng Tàu",2014,0
"TP.Hồ Chí Minh",2014,0
"Long An",2014,0
"Tiền Giang",2014,0
"Bến Tre",2014,0
"Đồng Tháp",2014,0
"An Giang",2014,0
"Kiên Giang",2014,0.7
"Cần Thơ",2014,0
"Hậu Giang",2014,0
"Sóc Trăng",2014,0
"Bạc Liêu",2014,0
"Cà Mau",2014,0
"Hà Nội",2015,6
"Hà Tây",2015,0
"Vĩnh Phúc",2015,5.6
"Bắc Ninh",2015,0
"Quảng Ninh",2015,8.1
"Hải Dương",2015,0
"Hải Phòng",2015,0
"Hà Nam",2015,0
"Ninh Bình",2015,0
"Hà Giang",2015,156
"Cao Bằng",2015,18
"Bắc Kạn",2015,3.4
"Tuyên Quang",2015,0
"Lào Cai",2015,7.1
"Yên Bái",2015,107
"Thái Nguyên",2015,7
"Lạng Sơn",2015,32.8
"Bắc Giang",2015,10.3
"Phú Thọ",2015,2.5
"Điện Biên",2015,4.5
"Lai Châu",2015,10.7
"Sơn La",2015,120
"Hoà Bình",2015,14
"Thanh Hoá",2015,169
"Nghệ An",2015,16.2
"Hà Tĩnh",2015,14.1
"Quảng Bình",2015,1.3
"Quảng Trị",2015,16
"Thừa Thiên - Huế",2015,4.6
"Đà Nẵng",2015,1
"Quảng Nam",2015,3
"Quảng Ngãi",2015,0.1
"Bình Định",2015,114
"Phú Yên",2015,0
"Khánh Hoà",2015,7.4
"Ninh Thuận",2015,0
"Bình Thuận",2015,16.7
"Kon Tum",2015,15
"Gia Lai",2015,0
"Đắk Lắk",2015,125
"Đắk Nông",2015,0
"Lâm Đồng",2015,15
"Bình Phước",2015,0.5
"Tây Ninh",2015,5.6
"Bình Dương",2015,0
"Đồng Nai",2015,4
"Bà Rịa - Vũng Tàu",2015,8.6
"TP.Hồ Chí Minh",2015,0
"Long An",2015,8
"Tiền Giang",2015,0
"Bến Tre",2015,0
"Đồng Tháp",2015,0.8
"An Giang",2015,0
"Kiên Giang",2015,17
"Cần Thơ",2015,0
"Hậu Giang",2015,0
"Sóc Trăng",2015,0
"Bạc Liêu",2015,0
"Cà Mau",2015,0
