SantaFe 2016 Diesel Limited 4WD,Hyundai,SUV,Lắp ráp,1.3,1.275,R 2.2 eVGT,199,441
Sunny XL,Nissan,Sedan,Lắp ráp,498,491,1.5 I4 HR15,99,134
Sunny XV,Nissan,Sedan,Lắp ráp,538,522,1.5 I4 HR15,99,134
Teana 2.5 SL,Nissan,Sedan,Nhập khẩu,1.3,1.287,2.5 I4 QR25,180,243
Juke,Nissan,SUV,Nhập khẩu,1.06,1.05,1.6 I4 DOHC,115,158
Navara NP300E 4x2MT,Nissan,pick-up,Nhập khẩu,625,605,2.5 I4,161,403
Navara NP300SL 4x4 MT,Nissan,pick-up,Nhập khẩu,725,695,2.5 I4,188,450
Navara NP300 VL 4x4 AT,Nissan,pick-up,Nhập khẩu,795,782,2.5 I4,188,450
X-Trail 2.0 2WD,Nissan,SUV,Lắp ráp,998,979,2.0 I4,142,200
X-Trail 2.0 SL 2WD,Nissan,SUV,Lắp ráp,1.048,1.038,2.0 I4,142,200
X-Trail 2.5 SV 4WD,Nissan,SUV,Lắp ráp,1.198,1.18,2.5 I4,169,233
Morning 1.0MT,Kia,Hatchback,Lắp ráp,327,318,1 lít I3,66,94
Morning 1.25 EXMT,Kia,Hatchback,Lắp ráp,341,332,1.25 I4 Kappa,86,120
Morning 1.25 LX,Kia,Hatchback,Lắp ráp,365,356,1.25 I4 Kappa,86,120
Morning 1.25 Si AT,Kia,Hatchback,Lắp ráp,416,404,1.25 I4 Kappa,86,120
Morning 1.25 Si MT,Kia,Hatchback,Lắp ráp,388,380,1.25 I4 Kappa,86,120
Sorento GAT 2WD,Kia,SUV,Lắp ráp,868,850,2.4 I4 Theta II,174,227
Sorento DATH 2WD,Kia,SUV,Lắp ráp,1.006,978,2.2 I4 CRDi,195,437
Sorento GATH 2WD,Kia,SUV,Lắp ráp,966,939,2.4 I4 Theta II,174,227
Carens,Kia,MPV,Lắp ráp,555,538,2.0 I4 Theta,143,189
Rondo 2.0 GAT,Kia,MPV,Lắp ráp,690,676,2.0 I4 Nu,150,194
Rondo 2.0 GATH,Kia,MPV,Lắp ráp,794,778,2.0 I4 Nu,150,194
Rondo 1.7 DAT,Kia,MPV,Lắp ráp,732,716,1.7 I4 U2,135,331
Sedona 2.2 DAT,Kia,MPV,Lắp ráp,1.18,1.156,2.2 I4 CRDi,190,440
Sedona 3.3 GAT,Kia,MPV,Lắp ráp,1.298,1.272,3.3 V6 Lambda,266,318
Sedona 2.2 DATH,Kia,MPV,Lắp ráp,1.298,1.272,2.2 I4 CRDi,190,440
Sedona 3.3 GATH,Kia,MPV,Lắp ráp,1.398,1.37,3.3 V6 Lambda,266,318
Rio hatchback,Kia,Hatchback,Nhập khẩu,615,602,1.4 I4 CVVT,106,135
Rio sedan 1.4 MT,Kia,Sedan,Nhập khẩu,502,486,1.4 I4 CVVT,106,135
Rio sedan 1.4 AT,Kia,Sedan,Nhập khẩu,565,553,1.4 I4 CVVT,106,135
Cerato Koup,Kia,Sedan,Nhập khẩu,830,808,2.0 I4 Nu,159,194
Cerato Hatchback 1.6,Kia,Hatchback,Lắp ráp,725,706,1.6 I4 Gamma,128,157
Optima,Kia,Sedan,Nhập khẩu,958,933,2.0 I4 Nu,164,194
Soul,Kia,SUV,Nhập khẩu,775,759,2.0 I4 Nu,156,192
Soul (Sunroof),Kia,SUV,Nhập khẩu,795,779,2.0 I4 Nu,156,192
Cerato 1.6MT,Kia,Sedan,Lắp ráp,612,593,1.6 I4 Gamma,128,157
Cerato 1.6AT,Kia,Sedan,Lắp ráp,679,658,1.6 I4 Gamma,128,157
Cerato 2.0AT,Kia,Sedan,Lắp ráp,729,708,2.0 I4 Nu,159,194
Fiesta 1.5 Titanium,Ford,Sedan,Lắp ráp,579,542,1.5 Duratec,112,140
Fiesta 1.5 Sport,Ford,Hatchback,Lắp ráp,584,540,1.5 Duratec,112,140
Fiesta 1.0 Sport,Ford,Hatchback,Lắp ráp,637,596,1.0 Ecoboost,125,170
Focus 1.5 Titanium,Ford,Sedan,Lắp ráp,848,791,1.5 Ecoboost,180,240
Focus 1.5 Sport,Ford,Hatchback,Lắp ráp,848,792,1.5 Ecoboost,180,240
EcoSport 1.5MT Trend,Ford,SUV,Lắp ráp,585,550,1.5 Duratec,110,140
EcoSport 1.5AT Titanium,Ford,SUV,Lắp ráp,658,600,1.5 Duratec,110,140
EcoSport 1.5AT Titanium Black,Ford,SUV,Lắp ráp,664,614,1.5 Duratec,110,140
Everest Trend 2.2AT 4x2,Ford,SUV,Nhập khẩu,1.249,1.224,2.2 I4,160,385
Everest Titanium 2.2AT 4x2,Ford,SUV,Nhập khẩu,1.329,1.302,2.2 I4,160,385
Everest Titanium 3.2AT 4WD,Ford,SUV,Nhập khẩu,1.936,1.897,3.2 I5,200,470
Ranger XL 2.2L- 4x4 MT,Ford,Pick-up,Nhập khẩu,619,602,2.2 I4,125,320
Ranger XLS 2.2L - 4x2 MT,Ford,Pick-up,Nhập khẩu,659,643,2.2 I4,125,320
Ranger XLS 2.2L - 4x2 AT,Ford,Pick-up,Nhập khẩu,685,671,2.2 I4,150,375
Ranger XLT 2.2L - 4x4 MT,Ford,Pick-up,Nhập khẩu,790,774,2.2 I4,160,385
Ranger Wildtrak 2.2L - 4x2 AT,Ford,Pick-up,Nhập khẩu,830,806,2.2 I4,160,385
Ranger Wildtrak 2.2L - 4x2 AT (Canopy),Ford,Pick-up,Nhập khẩu,862,844,2.2 I4,160,385
Ranger Wildtrak 3.2L - 4x4 AT,Ford,Pick-up,Nhập khẩu,918,891,3.2 I5,200,470
Ranger Wildtrak 3.2L - 4x4 AT (Canopy),Ford,Pick-up,Nhập khẩu,921,902,3.2 I5,200,470
Focus 1.5 Trend,Ford,Hatchback,Lắp ráp,699,699,1.5 Ecoboost,180,240
Focus 1.5 Trend,Ford,Sedan,Lắp ráp,699,699,1.5 Ecoboost,180,240
Spark Van,Chevrolet,Van,Lắp ráp,279,273,1.2 I4,80,108
Spark LS,Chevrolet,Hatchback,Lắp ráp,339,332,1.2 I4,80,108
Aveo LT,Chevrolet,Sedan,Lắp ráp,459,449,1.4 I4,84,128
Aveo LTZ,Chevrolet,Sedan,Lắp ráp,495,485,1.4 I4,84,128
Cruze LS 1.6,Chevrolet,Sedan,Lắp ráp,589,577,1.6 I4,107,139
Cruze LTZ 1.8,Chevrolet,Sedan,Lắp ráp,699,682,1.8 I4,150,176
